,Question,Answer,Type
58,"If I get 5** in DSE Chinese, will I be exempted from taking the Chinese course?",No.,BSc 6901
59,Will HKU Science accept combined HKDSE certificates?,"For 6901 BSc Programme, the best results in years 2021 and 2022 will be considered, with no penalty.",BSc 6901
60,"Other universities are also adopting the common admissions policy, how do they differ from the 6901 BSc programme?","HKU Science is the first university to implement this common admission since 2007;; All the 14 Science Majors and 7 Intensive Majors offered by the Faculty of Science are under this common admissions policy;; There is no quota for any of the 14 Science Majors and 7 Intensive Majors.  Students have complete freedom in choosing any Science Major;; Second Major and Minor are available in both Science and non-Science disciplines.  About 1/4 students take one Major and one Minor, and another 1/4 take two Majors in the BSc degree curriculum each year.",BSc 6901
61,What is Young Scientist Scheme (YSS)?,"Enrolment in our flagship Summer Research Fellowship (SRF) Scheme to conduct research under the supervision of our professors in the first summer; A further SRF or Overseas Research Fellowship (ORF) in a foreign institution in subsequent years; International exchange study, visiting or summer study at world class universities overseas; Attendance in international scientific conference on frontier research Guidance from a research mentor individually from the start of the undergraduate study; Enrolment in our Frontiers of Science Honours Seminar to learn how our award-winning professors solve their research problems; An entrance scholarship ranging from HKD 20,000 to HKD 70,000; Stipends for all the aforesaid research activities",BSc 6901
62,Who is entitled to join YSS?,"have a second chance to enrol in YSS at a later stage; be able to compete for SRF, ORF and/or international exchange during their study",BSc 6901
63,Who is eligible to apply for the scheme?,Candidates who hold a recognised full-time Associate Degree (AD) or Higher Diploma (HD) in community colleges in Hong Kong (at least two years in duration) in a relevant discipline are eligible to apply for direct entry to the third year of the 4-year BSc degree programme.  Students in their second year of study of AD or HD programmes can also apply.  You may also visit the direct admissions scheme website for more information.,BSc 6901
64,How many places are available?,85 places for 2022.,BSc 6901
65,Do you interview students for admissions?,You may be invited to an interview in March.,BSc 6901
66,When will I know my result of application?,"Some conditional offers will be issued to students after the interview.  For those who do not get conditional offers, they will be considered after the announcement of their AD/HD examination results in July.",BSc 6901
67,How many advanced standing credits will I receive?,"The 4-year degree curriculum requires students to complete 240 credits for graduation. Students accepted to the third year of the 4-year BSc degree curriculum under this Scheme would be granted 120 credits of advanced standing including certain core courses of the Major, 24 credits (for AD holder) or 18 credits (for HD holder) of Common Core courses, 6 credits of English language course, 6 credits of Chinese language course and elective courses.",BSc 6901
68,What are the choices of Science Majors if I apply via Direct Admissions Scheme?,Biochemistry; Biological Sciences; Chemistry; Decision Analytics; Earth System Science; Ecology & Biodiversity; Environmental Science; Food & Nutritional Science; Geology; Mathematics; Molecular Biology & Biotechnology; Physics; Risk Management; Statistics,BSc 6901
69,"What are the differences between our BASc programme and other programmes within the BASc family (i.e. BASc in Fintech, AI, Design+ or GHD)?","While other BASc programmes require students to take a series of fixed courses, our BASc programme is more flexible and open-ended. This BASc programme gives you the flexibility to choose what to study across the Arts, Science and Social Sciences faculties to fulfil the core Major in Interdisciplinary Studies. This means you have the freedom to create your own degree based on your passions and ambitions. You will also have 96 credits to use on free electives or to declare another major or minor.",BASc
70,What are majors and minors and what is the difference between them?,"When we say we “declare a major” in a certain discipline or field (available from completing year 1), it means that we are committed to focus our studies on that subject. A major in HKU usually implies taking 12 to 16 courses (72-96 credits) and it is often considered comparable to someone who has completed a specific degree in that field. A minor, in contrast, requires less commitment; it usually means taking 6-8 courses (36-48 credits) only. This would give them more room to declare a double minor or take other free elective courses in other subjects that interest them.",BASc
71,What can I choose for my second major/minors?,"This list is too long to be listed here! You can choose from majors/minors in diverse subjects such as Computer Science, Fine Arts, Business Design and Innovation, Psychology, Food and Nutritional Sciences and many many more. In 2020, there will be 70 majors and 84 minors available for you to choose from, and the number is still expanding. For a full list of major and minor choices see here: http://aao.hku.hk/sy3/plan-of-study/major-and-minor/",BASc
72,What are the differences between BASc and Bachelor of Arts / Bachelor of Social Sciences / Bachelor of Science?,"The BASc programme is jointly offered by the three faculties as our programme gives students the unprecedented opportunity to take courses across the three faculties. Unlike the other, faculty-specific programmes such as BSocSc, BA or BSc, we do not require students to take a particular number of credits or to declare a major within a specific faculty; our students have great flexibility in choosing what they want to study than students in these other programmes. Besides this flexibility, the BASc programme also includes some additional, unique, courses that will train each student to become a world leader. We also offer tailor-made internship experiences that are not typically offered to students on other programmes. Each student will also have personal mentorship with the BASc programme director, who will help them plan for their degree and their future thereafter. Finally, students on our programme will also be able to benefit from a close connection with other BASc family students on other BASc programmes so that they will be able to develop a network of friends from diverse disciplines. You may refer to this page that illustrate the special features of this unique programme in Hong Kong.",BASc
73,"I studied science subjects in high school, and I did not do any arts/ social sciences subjects. Would it be difficult for me to catch up or be disadvantaged in application?","This is a common concern among many students. However, as most university subjects are not offered in secondary school and the majority of students also have little exposure to the subjects they come across, the university curriculum is designed to allow students to start from introductory courses and advance further. In our BASc programme, each student can have access to their mentor and receive personal advice on designing the curriculum path that best fits them, which most current students appreciate.",BASc
74,Do I need to study any particular subject in order to get into BASc?,"There is no particular subject requirement other than those set by the university. However, HKDSE applicants should achieve level 5 or above in English. That said, we do give preference to those placing this programme as their first choice (non-JUPAS applicants) or in Band A (JUPAS applicants).",BASc
75,What is the admission score of the previous intake year?,Please refer to here for the latest information: https://admissions.hku.hk/sites/default/files/2022-03/HKU%20JUPAS%20Admissions%202022_formula%20and%20scores.pdf,BASc
76,Can I participate in the exchange programme offered by the University/ Faculty of Social Sciences?,"Though it is not a compulsory graduation requirement in our programme, you are strongly recommended to join one!",BASc
77,What are the exchange opportunities available to this programme?,"For our BASc programme, there are broadly 3 exchange programmes available to each student. Besides the popular HKU Worldwide Undergraduate Student Exchange Programme (HKUWW) and the more prestigious HKUWW Plus that includes University of Oxford, University of Cambridge, Yale University, amongst others, students in the BASc programme can also participate in different exchange programmes organised by the Faculty of Social Sciences. This innovative arrangement allows you to study overseas for various lengths of time in different top-tier universities! HKU also offers financial subsidies to students who need some extra support whilst they are on their exchange. In the BASc programme, we encourage our students to become global citizens who are exposed to ideas and solutions from across the world, not just here in Hong Kong.",BASc
78,Will there be any fewer opportunities compared to other traditional programmes?,"At HKU, applicants will be competing with all other students within the University/Faculty based on their GPA and interview performance etc., the programme you study generally does not affect this consideration unless the host institution has an explicit preference (say, business school preferring business major students). However, you can also make yourself eligible for these experiences through picking an appropriate second major. So, there is no disadvantage when compared to other traditional programme. In fact, you will benefit from our small class size as we can give you more advice on exchange opportunities.",BASc
79,"I understand that this degree opens me up to many job opportunities as I can choose what to focus on, but will it be difficult to find a job with this general programme?","What ""qualifies you"" for the job you want often has little to do with your degree/major (though it is the entrance ticket for some professions). In recent years, employers are placing more emphasis on one’s interpersonal and communication skills, critical thinking ability as well as adaptivity to deal with novel situations. This is also why universities throughout the world are shifting away from offering fixed curriculums, which usually tend to focus on ‘hard skills’, to becoming more open-ended in their programme structure in a way that incorporates more teamwork and problem-solving opportunities (soft skills). If you have checked with the job advertisements, most multinational and large companies have no requirements on applicants’ disciplinary background in the most thriving positions; some even implicitly exclude applicants trained in specialised programmes as often they can only see things from a narrow point of view. Our BASc degree would allow you to choose the field you want to study while equipping you with ability to handle complex tasks that we will face in the 21st Century.",BASc
80,What advisers are there at the University to help me with studies?,"There are six types of Academic Advisers under the University-wide Academic Advising System who can help you with studies:
1. Faculty Academic Advisers (FAA – teachers at your home Faculty);
2. Faculty Temporary Academic Adviser (TAA – teachers who specialize on helping students to explore major/minor options);
3. Faculty Student Advisers;
4. Residential Student Advisers;
5. Academic Advisers in the Academic Advising Office (AAO); and
6. Administrative staff from Faculty / Department offices. ",AAO
81,How can I find my Faculty Academic Adviser (FAA) in SIS?,"You can check who your FAA is via the web link of https://ugaa.hku.hk/viewugadvisers.php. For enquiries and support, please call us at 39170128.",AAO
82,How should I contact my FAA and what should I do if he/she does not respond?,"You could email your FAA first to make an appointment with him/her. His/her contacts are at https://ugaa.hku.hk/viewugadvisers.php (Portal login required). Sometimes, FAAs reserve “consultation hours” for advisees, please check with them. If your FAA is too busy to get back to you, please try emailing him/her for a few times more and approach your Faculty Office/Department for help if needed.",AAO
83,Can I change my FAA?,"Under normal circumstances, FAA cannot be changed once assigned. However, if you have some very special reasons or concerns, please liaise with your home Faculty Office on this.",AAO
84,What is Temporary Academic Advisers (TAA)? How can I get one?,"TAA is a teacher from Faculty, usually the Programme Director or co-ordinator of a particular programme, to help you explore major/minor options and answer enquiries for a particular discipline. You can go to “Self Services” in SIS, and then click “Request Temporary Adviser” to request for one. Your advising relationship with TAA lasts for 90 days. TAAs are available for all major/minor programmes that are open to non-home Faculty students.",AAO
85,How can I find the student advisers in my Faculty?,"You can find the information of the student advisers in your Faculty website, or in SIS under “Find Your Adviser” on the right hand-side if a student adviser has been assigned to you. See here for more information. You can also contact your Faculty Office for further support on peer advising, especially for those Faculties which do not have student advisers yet.",AAO
86,How can the Academic Advising Office help me with studies?,"Academic Advisers at AAO supplement the role of FAA through advising students on university regulations, general university requirements, development of study plans, major minor selection, cross faculties learning opportunities and academic progress. For first year students in particular, AAO helps them make a smooth transition to the University and develop study plans to achieve their academic goals. We provide one-on-one advising service. Please make an appointment with us at https://booking.aao.hku.hk/ .",AAO
87,I am interested in the programmes of HKU and would like to know more. Which unit should I contact?,"For matters related to admission, please visit the website of our Admissions Office at https://admissions.hku.hk/. Their FAQ section is very useful too: https://admissions.hku.hk/faqs.",AAO
88,What is advanced standing? Am I eligible to apply for it?,"Advanced standings are the credits granted to eligible non-JUPAS entrants in recognition of their studies completed successfully elsewhere before admission to HKU (e.g. IB, GCE A-level, community college, overseas university). You are not required to make up these “advanced credits” during your course of study at HKU so this might enable you to shorten your overall study period. However, no further advanced standing will be granted after admission to the programme or the  deadline stipulated by the Faculty. For enquiry and application, please contact your Faculty Office.",AAO
89,What are the “UG5” requirements?,"For most curriculums, University Regulation UG5 refers to the following University Graduation Requirements:",AAO
90,"How can I get exempted from the English requirement, that is, CAES 1000?","If you achieved level 5 or above in HKDSE English, or if you are a non-JUPAS student and have the equivalent qualification, you can choose whether or not to take CAES1000. If you wish to take it, just enroll for it in SIS, no prior application is needed; if you do not wish to take it, a free elective course in lieu is needed. SIS Office will, by around August 30, automatically assign a CAES1000 class to those who need to take it but have not enrolled for it yet and those who have attempted to enroll for it but have not been successful yet.",AAO
91,"I cannot write or speak in Chinese, can I be exempted from the Chinese requirement?",Only Putonghua-speaking students and students who have not studied Chinese language during their secondary education or who have not attained the requisite level of competence in the Chinese language may be exempted from the Chinese requirement. They might be asked to take credit bearing Cantonese or Putonghua language courses offered by the School of Chinese especially for international and exchange students; or to take an elective course in lieu. Please check with Faculty Office or School of Chinese for further details.,AAO
92,"Do I need to apply for the exemptions of the language requirements, or will it be done automatically by my Faculty?","Yes, you need to apply to your Faculty for exemption of Chinese and/or English language requirements if you are eligible for that. Please apply as soon as possible after you are admitted to HKU.",AAO
93,I wish to brush up my English and Chinese. Are there any support units that I can approach?,"For support on English, please contact the Centre for Applied English Studies (CAES) at https://caescss.hku.hk/; For support on Chinese, please go to the School of Chinese at http://web.chinese.hku.hk/main/chinese-language-enhancement-program/",AAO
94,"I have some questions regarding the Common Core curriculum, such as the special proviso, the course requirements and many others … who should I approach?","For enquiries on Common Core, please refer to the Common Core Website at https://commoncore.hku.hk/. Many enquiries raised by students have been included in their FAQs at https://commoncore.hku.hk/faqs/.",AAO
95,How and when should I select courses?,"You should select courses via SIS (Student Information System) during the course selection period before the semester start for both semester one and semester two. You can modify your enrolment in the add/drop period, usually during the first two weeks of teaching in each semester.",AAO
96,"Where can I find more information about my interested courses? For example, its assessment methods and learning outcomes?","You can visit the “Course Information” section in SIS for learning more about your interested courses, such as assessment methods and other important information. The navigation is: HKU Portal -> My Page -> SIS Menu -> Enrollment -> Course Information",AAO
97,How many credits can I take to the maximum? Can I take more than 30 credits?,"The University recommends you to take 24-30 credits in one semester (except the summer semester) unless otherwise permitted or required by your Faculty. Theoretically, you can take additional 6 credits to the maximum in one semester, accumulating up to a maximum of 72 credits in an academic year. If you are planning to take more than 6 courses (over 36 credits) in a semester, please apply to your Faculty for overloading. Justifications might be required. For details, please look at UG 4 of the Regulations for First Degree Curricula.",AAO
98,Are there any requirements on the minimum number of courses that I need to take in each semester?,"The University recommends you to take 24-30 credits in one semester (except the summer semester). If you are planning to take less than 4 courses (under 24 credits) in a semester, please apply to your Faculty for under-loading. Justifications might be required.",AAO
