,No.,Course Code,Title,Credit,Pre-requisite,Available in 2022-2023,Available in 2023-2024,Semester offered in 2022-2023,Exam held in 2022-2023,Quota,Course Coordinator,Disciplinary Core Course,Disciplinary Elective,Capstone - Disciplinary Core Course,Capstone - Disciplinary Elective,Teachers
83,84,CHEM1041,Foundations of chemistry,6,"Level 3 or above in HKDSE Combined Science with Chemistry component or Integrated Science, or equivalent.
Students without such background but keen on taking this foundation chemistry course may approach the course coordinator for consideration.
Not for students with Level 3 or above in HKDSE Chemistry or having taken any level 1 Chemistry course or above or any equivalent Chemistry course.",Y,Y,1,Dec,70,"Dr A P L Tong, Chemistry",,"Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A P L Tong,Chemistry)"
84,85,CHEM1042,General chemistry I,6,"Level 3 or above in HKDSE Chemistry or equivalent or a pass in CHEM1041.
Not for students having taken any level 1 Chemistry course (except for CHEM1041) or above or any equivalent Chemistry course.",Y,Y,"1, 2","Dec, May",450,"Dr A P L Tong, Chemistry","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Environmental Science (2022,2021,2020,2019,2018)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Environmental Science (2017,2016,2015)
Major in Food & Nutritional Science (2022,2021,2020,2019)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A P L Tong,Chemistry)"
85,86,CHEM1043,General chemistry II,6,Pass in CHEM1042,Y,Y,"1, 2","Dec, May",280,"Dr A P L Tong, Chemistry","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,,"(Dr A P L Tong,Chemistry)
(Dr S K Lee,Chemistry)
(Prof D L Phillips,Chemistry)"
86,87,CHEM1044,Mathematics in chemistry,6,"Pass in CHEM1042 or already enrolled in this course; and
Level 2 or above in Module 1 or Module 2 of HKDSE Mathematics or equivalent, or
Pass in MATH1011 or SCNC1111",Y,Y,2,May,80,"Dr A M Y Yuen, Chemistry",,"Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A M Y Yuen,Chemistry)
(Dr J Yang,Chemistry)
(Dr. J Z Liu,Chemistry)"
87,88,CHEM2241,Analytical chemistry I,6,"Pass in CHEM1042; and Pass in CHEM1043, or already enrolled in this course",Y,Y,"1, 2","Dec, May",120,"Dr I K Chu (1st sem); Dr E C M Tse (2nd sem), Chemistry","Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2017,2016,2015)",,,"(Dr E C M Tse,Chemistry)
(Dr I K Chu,Chemistry)"
88,89,CHEM2341,Inorganic chemistry I,6,"Pass in CHEM1042; and Pass in CHEM1043, or already enrolled in this course",Y,Y,"1, 2","Dec, May",120,"Dr H Y Au Yeung, Chemistry","Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A M Y Yuen,Chemistry)
(Dr H Y Au Yeung,Chemistry)
(Prof H Z Sun,Chemistry)"
89,90,CHEM2441,Organic chemistry I,6,"Pass in CHEM1042; and Pass in CHEM1043, or already enrolled in this course",Y,Y,"1, 2","Dec, May",200,"Prof X Y Li (1st sem); Prof P Chiu (2nd sem), Chemistry","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr S K Lee,Chemistry)
(Prof P Chiu,Chemistry)
(Prof X Y Li,Chemistry)"
90,91,CHEM2442,Fundamentals of organic chemistry,6,"Pass in CHEM1042; and
Not for students who have passed CHEM2441, or have already enrolled in this course.",Y,Y,1,Dec,100,"Dr P H Toy, Chemistry",,"Major in Environmental Science (2017,2016,2015)
Major in Food & Nutritional Science (2022,2021,2020,2019)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2017,2016,2015)",,,"(Dr P H Toy,Chemistry)"
91,92,CHEM2541,Introductory physical chemistry,6,Pass in CHEM1042 and CHEM1043,Y,Y,2,May,100,"Dr J Y Tang, Chemistry","Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J Y Tang,Chemistry)"
92,93,CHEM3141,Environmental chemistry,6,Pass in CHEM2341 or CHEM2441 or CHEM2442 or CHEM2541,Y,Y,2,May,50,"Dr Y X Li, Chemistry",,"Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Y X Li,Chemistry)"
93,94,CHEM3142,Chemical process industries and analysis,6,Pass in CHEM2241 or CHEM2341 or CHEM2441 or CHEM2442 or CHEM2541,Y,N,1,Dec,60,"Prof G K Y Chan, Chemistry",,"Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof G K Y Chan,Chemistry)
(Visiting Professor,Chemistry)"
94,95,CHEM3143,Introduction to materials chemistry,6,Pass in CHEM2441; and Pass in CHEM2541 or CHEM2341,Y,Y,1,Dec,60,"Dr Y F Wang, Chemistry","Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Y F Wang,Chemistry)"
95,96,CHEM3241,Analytical chemistry II: chemical instrumentation,6,Pass in CHEM2241,Y,Y,1,Dec,104,"Dr Y Li, Chemistry","Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2021,2020,2019,2018,2017,2016,2015)",,,"(Dr I K Chu,Chemistry)
(Dr Y Li,Chemistry)"
96,97,CHEM3242,Food and water analysis,6,"Pass in CHEM2241 or CHEM2341 or CHEM2441 or CHEM2541.
Please note that School of Biological Sciences stipulates that students who have passed CHEM3242 are not allowed to take BIOL3209 Food and nutrient analysis.",Y,Y,2,May,50,"Dr K K H Ng, Chemistry",,"Major in Environmental Science (2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2017,2016,2015)",,,"(Dr K K H Ng,Chemistry)"
97,98,CHEM3341,Inorganic chemistry II,6,Pass in CHEM2341,Y,Y,1,Dec,90,"Prof V W W Yam, Chemistry","Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A M Y Yuen,Chemistry)
(Prof V W W Yam,Chemistry)"
98,99,CHEM3342,Bioinorganic chemistry,6,Pass in CHEM2341,Y,Y,2,May,50,"Prof H Z Sun, Chemistry",,"Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr H Y Au Yeung,Chemistry)
(Prof H Z Sun,Chemistry)"
99,100,CHEM3441,Organic chemistry II,6,"Pass in CHEM2441
[Remarks: CHEM3441 has been changed to lecture-based course from semester 2, 2015-16.  For Chemistry students who admitted in 2014-15 or before, they must enroll also CHEM3443 for enrolling CHEM3441 (new version without lab component) to meet the Chemistry Major requirements.]",Y,Y,"1, 2","Dec, May",300,"Dr Z X Huang (1st sem); Prof X Y Li (2nd sem), Chemistry","Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Z X Huang,Chemistry)
(Prof X D Li,Chemistry)
(Prof X Y Li,Chemistry)"
100,101,CHEM3442,Organic chemistry of biomolecules,6,Pass in CHEM2442 or CHEM3441,Y,Y,1,Dec,50,"Dr P H Toy, Chemistry",,"Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr P H Toy,Chemistry)
(Dr. Y X Li,Chemistry)"
101,102,CHEM3443,Organic chemistry laboratory,6,"Pass in CHEM2441; and pass in CHEM3441, or already enrolled in this course;
NOT for students who have passed CHEM3441A in semester 1, 2015-16, or CHEM3441 in or before 2014-2015 (for students admitted in 2014-15 or before)
Pass in CHEM2441 or CHEM2442 or CHEM2443; and Pass in CHEM3441 or CHEM3442, or already enrolled in any of these two courses (for students admitted in 2015-16 or thereafter)",Y,Y,"1, 2","Dec, May",80,"Dr A M Y Yuen, Chemistry","Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A M Y Yuen,Chemistry)
(Dr Y F Wang,Chemistry)"
102,103,CHEM3445,Integrated laboratory,6,Pass in CHEM3443 or already enrolled in this course,Y,Y,S,No exam,20,"Dr A M Y Yuen, Chemistry","Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A M Y Yuen,Chemistry)
(Dr J He,Chemistry)"
103,104,CHEM3541,Physical chemistry: Introduction to quantum chemistry,6,Pass in CHEM2541,Y,Y,1,Dec,100,"Prof G H Chen, Chemistry","Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J Yang,Chemistry)
(Prof G H Chen /(Visiting Professor) Prof. Karl Johnson,Chemistry)"
104,105,CHEM3542,Physical chemistry: statistical thermodynamics and kinetics theory,6,Pass in CHEM2541,Y,Y,2,May,50,"Dr J Yang, Chemistry","Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J Yang,Chemistry)"
105,106,CHEM3999,Directed studies in chemistry,6,"Pass in at least 24 credits of advanced level disciplinary core/elective chemistry courses (CHEM3XXX or CHEM4XXX) in the Chemistry Major including a pass in CHEM2341 or CHEM2441 or CHEM2442 or CHEM2541 or CHEM3146.
This capstone course is for Chemistry Major/ Chemistry Major (Intensive) students only.
This course is designed for third year students who would like to take an early experience on research.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2",No exam,---,"Prof D L Phillips, Chemistry",,"Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","(Various teachers in the Department,Chemistry)"
106,107,CHEM4142,"Symmetry, group theory and applications",6,Pass in CHEM3341,Y,Y,1,Dec,60,"Dr E C M Tse, Chemistry","Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr E C M Tse,Chemistry)
(Dr K K H Ng,Chemistry)"
107,108,CHEM4143,Interfacial science and technology,6,Pass in CHEM3143 or CHEM3541 or CHEM3542,Y,N,1,Dec,50,"Prof G K Y Chan, Chemistry",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof G K Y Chan,Chemistry)
(Visiting Professor,Chemistry)"
108,109,CHEM4144,Advanced materials,6,Pass in CHEM3143,Y,Y,2,May,30,"Dr E C M Tse, Chemistry","Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr E C M Tse,Chemistry)
(Dr K Okuro,Chemistry)"
109,110,CHEM4145,Medicinal chemistry,6,"Pass in CHEM3441 or CHEM3442; and Not for students who have passed in BPHM3133, or already enrolled in this course.",Y,Y,2,May,40,"Dr Y Li, Chemistry",,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr P H Toy,Chemistry)
(Dr Y Li,Chemistry)
(Prof X C Li,Chemistry)"
110,111,CHEM4147,Supramolecular chemistry,6,Pass in CHEM3341 and CHEM3441,Y,Y,2,May,40,"Dr H Y Au-Yeung, Chemistry",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr H Y Au-Yeung,Chemistry)
(Dr K Okuro,Chemistry)
(Dr Y F Wang,Chemistry)"
111,112,CHEM4148,Frontiers in Modern Chemical Science,6,Pass in CHEM3341 and CHEM3441.,Y,Y,2,May,60,"Prof X D Li, Chemistry",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J Y Tang,Chemistry)
(Prof X D Li,Chemistry)"
112,113,CHEM4241,Modern chemical instrumentation and applications,6,Pass in CHEM3241,Y,Y,1,Dec,50,"Dr I K Chu, Chemistry","Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr H B Jiang,Chemistry)
(Dr I K Chu,Chemistry)"
113,114,CHEM4242,Analytical chemistry,6,Pass in  CHEM3241 or CHEM3242,Y,Y,2,May,50,"Dr H B Jiang, Chemistry",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr H B Jiang,Chemistry)"
114,115,CHEM4341,Advanced inorganic chemistry,6,Pass in CHEM3341,Y,Y,1,Dec,50,"Prof C M Che, Chemistry",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof C M Che,Chemistry)
(Prof H Z Sun,Chemistry)
(Prof V W W Yam,Chemistry)"
115,116,CHEM4342,Organometallic chemistry,6,Pass in CHEM3341,Y,Y,1,Dec,32,"Dr. J Z Liu, Chemistry",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J He,Chemistry)
(Dr. J Z Liu,Chemistry)"
116,117,CHEM4441,Advanced organic chemistry,6,Pass in CHEM3441,Y,Y,1,Dec,40,"Dr J He, Chemistry",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J He,Chemistry)
(Dr Z X Huang,Chemistry)"
117,118,CHEM4443,Integrated organic synthesis,6,"Pass in CHEM3441; or
Pass in CHEM3441 (without lab component) and CHEM3443",Y,Y,2,May,50,"Prof P Chiu, Chemistry",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Z X Huang,Chemistry)"
118,119,CHEM4444,Chemical biology,6,Pass in BIOC3601 or CHEM3441,Y,Y,2,May,50,"Prof X C Li, Chemistry",,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof X C Li,Chemistry)"
119,120,CHEM4542,Computational chemistry,6,Pass in CHEM3541 or PHYS3351,Y,N,2,May,50,"Prof G H Chen, Chemistry",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J Yang,Chemistry)
(Prof G H Chen,Chemistry)"
120,121,CHEM4543,Advanced physical chemistry,6,Pass in CHEM3541,Y,Y,2,May,40,"Prof G H Chen/Dr C Y Yam, Chemistry",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof D L Phillips,Chemistry)
(Prof G H Chen/Dr C Y Yam,Chemistry)"
121,122,CHEM4910,Chemistry literacy and research,6,"Pass in at least 24 credits of advanced level disciplinary core/elective chemistry courses (CHEM3XXX or CHEM4XXX) in the Chemistry Major including CHEM3241, and CHEM3341, and CHEM3441, and CHEM3541.
This capstone course is for Chemistry Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,2,No exam,---,"Prof X D Li, Chemistry",,"Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)","(Various teachers in the Department,Chemistry)"
122,123,CHEM4911,Capstone experience for chemistry undergraduates: HKUtopia,6,"Students are expected to have satisfactorily completed all introductory chemistry disciplinary core courses and at least 24 credits of advanced level disciplinary core/elective chemistry courses in the Chemistry Major.
Students who are interested in taking the course should contact the course coordinator for application in April - May. Late application may not be considered.
This capstone course is for Chemistry Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,S,No exam,---,"Dr A P L Tong, Chemistry",,"Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)","(Various teachers in the Department,Chemistry)"
123,124,CHEM4966,Chemistry internship,6,"Pass in at least 24 credits of advanced level disciplinary core/elective chemistry courses (CHEM3XXX or CHEM4XXX) in the Chemistry Major.
This capstone course is for Chemistry Major/ Chemistry Major (Intensive) students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2, S",No exam,---,"Dr K K H Ng, Chemistry",,"Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","(Dr K K H Ng,Chemistry)"
124,125,CHEM4999,Chemistry project,12,"Pass in at least 24 credits of advanced level disciplinary core/elective chemistry courses (CHEM3XXX or CHEM4XXX) in the Chemistry Major including CHEM3241, and CHEM3341, and CHEM3441, and CHEM3541.
This capstone course is for Chemistry Major/ Chemistry Major (Intensive) students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,0,No exam,---,"Dr J Y Tang, Chemistry",,"Minor in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,"Major in Chemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Chemistry (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","(Various teachers in the Department,Chemistry)"
125,126,CSCI9001,Practical Chinese for science students,6,NIL,Y,Y,"1, 2","Dec, May",---,"Mr K W Wong, Chinese",,,,,"(Dr C M Chan,Chinese)
(Dr K T Lam,Chinese)
(Dr S F Lee,Chinese)
(Mr K W Wong,Chinese)"
126,127,EASC1020,Introduction to climate science,6,NIL,Y,Y,2,May,---,"Prof Z H Liu, Earth Sciences",,"Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr S H Li,Earth Sciences)
(Prof Z H Liu,Earth Sciences)"
127,128,EASC1401,Blue Planet,6,NIL,Y,Y,1,Dec,---,"Dr M H Lee, Earth Sciences","Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr M H Lee,Earth Sciences)"
128,129,EASC1402,Principles of geology,6,NIL,Y,Y,1,Dec,---,"Dr M C Cheung, Earth Sciences","Major in Earth System Science (2016,2015)
Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr M C Cheung,Earth Sciences)
(Prof M Sun,Earth Sciences)"
129,130,EASC1403,Geological heritage of Hong Kong,6,NIL,Y,Y,2,May,35,"Dr M C Cheung, Earth Sciences",,,,,"(Dr M C Cheung,Earth Sciences)"
130,131,EASC2401,Fluid/solid interactions in earth processes,6,Pass in EASC1401 or EASC1402,Y,Y,2,No exam,---,"Dr K H Lemke, Earth Sciences","Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr K H Lemke,Earth Sciences)"
131,132,EASC2402,Field and laboratory methods,6,Pass in EASC1401 or EASC1402,Y,Y,1,No exam,40,"TBC, Earth Sciences","Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)",,,,"(TBC,Earth Sciences)"
132,133,EASC2404,Introduction to atmosphere and hydrosphere,6,Pass in EASC1401 or EASC1402,Y,Y,1,Dec,50,"Dr B Zhang, Earth Sciences","Major in Earth System Science (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B Zhang,Earth Sciences)
(Dr J R Ali,Earth Sciences)"
133,134,EASC2406,Geochemistry,6,Pass in EASC1402,Y,Y,2,May,---,"Dr S H Li, Earth Sciences","Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)",,,,"(Dr S H Li,Earth Sciences)"
134,135,EASC2407,Mineralogy,6,Pass in EASC1402,Y,Y,1,Dec,30,"Dr Y Li, Earth Sciences","Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)",,,,"(Dr Y Li,Earth Sciences)
(Prof M Sun,Earth Sciences)"
135,136,EASC2409,Regional field studies,6,Pass in EASC1401 or EASC1402; and consent of course coordinator,Y,Y,0,No exam,10,"Dr J R Ali, Earth Sciences","Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)",,,,"(Dr A A G Webb (Japan Field Trip),Earth Sciences)
(Dr J R Ali (Taiwan Field Trip),Earth Sciences)"
136,137,EASC2410,Data analysis and modeling in earth sciences,6,Pass in EASC1401,Y,Y,2,No exam,---,"Dr B Zhang, Earth Sciences","Major in Earth System Science (2022,2021,2020,2019,2018,2017)",,,,"(Dr B Zhang,Earth Sciences)"
137,138,EASC2411,Introduction to the Earth-Life system,6,"Pass in EASC1401
Not for students who have passed in EASC1406",Y,Y,2,May,---,"Dr Y Li, Earth Sciences","Major in Earth System Science (2022,2021,2020,2019,2018,2017)","Major in Earth System Science (2016,2015)",,,"(Dr Y Li,Earth Sciences)"
138,139,EASC3020,Global change: anthropogenic impacts,6,Pass in EASC2404 or ENVS2001,Y,N,1,Dec,---,"Prof Z H Liu, Earth Sciences",,"Major in Earth System Science (2022,2021,2020,2019,2018,2017)
Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof Z H Liu,Earth Sciences)"
139,140,EASC3402,Petrology,6,Pass in EASC2407,Y,Y,2,May,---,"Prof G Zhao, Earth Sciences","Major in Geology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Geology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Earth Sciences (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr M C Cheung,Earth Sciences)
(Prof G Zhao,Earth Sciences)
(Prof M Sun,Earth Sciences)"
