,Academic Year,No. of credit(s),Lecture,Lab session,Pre-requisite(s),Co-requisite(s),Mutually exclusive with,Remarks,Course Code,Course Description,Learning Outcomes,Continuous Assessment Weighting in final course grade (%),Written Examination Weighting in final course grade (%),Tutorial,Other,Recommended Learning Hours,Self-study & practical modules,Choi Loretta
10,2022,6,2.0,,COMP1117 or ENGG1330,,COMP2123 or ENGG1340,,COMP2113B,"This course covers intermediate to advanced computer programming topics on various technologies and tools that are useful for software development. Topics include Linux shell commands, shell scripts, C/C++ programming, and separate compilation techniques and version control.  This is a self-learning course; there will be no lecture and students will be provided with self-study materials.  Students are required to complete milestone-based self-assessment tasks during the course.  This course is designed for students who are interested in Computer Science / Computer Engineering.","[Programming environment and technologies] Able to work comfortably on the Linux platform and utilize its basic functionalities for program development.; [Problem solving and program implementation] Able to understand and analyse a problem and implement appropriate solutions correctly using C/C++. Able to utilize debuggers and techniques like separate compilation, make files and version control to simplify and manage the program development process.; [Advanced programming techniques] Be able to understand and apply the principles of advanced programming techniques including recursion, dynamic memory management, STL, data structures and algorithms.; [Self learning] Be able to self-learn various programming techniques effectively.",70,30,13.0,,"Self-study & practical modules:
      39.0


Lecture:
      2.0


Tutorial:
      13.0",39.0,
11,2022,6,2.0,,COMP1117 or ENGG1330,,COMP2123 or ENGG1340,,COMP2113C,"This course covers intermediate to advanced computer programming topics on various technologies and tools that are useful for software development. Topics include Linux shell commands, shell scripts, C/C++ programming, and separate compilation techniques and version control.  This is a self-learning course; there will be no lecture and students will be provided with self-study materials.  Students are required to complete milestone-based self-assessment tasks during the course.  This course is designed for students who are interested in Computer Science / Computer Engineering.","[Programming environment and technologies] Able to work comfortably on the Linux platform and utilize its basic functionalities for program development.; [Problem solving and program implementation] Able to understand and analyse a problem and implement appropriate solutions correctly using C/C++. Able to utilize debuggers and techniques like separate compilation, make files and version control to simplify and manage the program development process.; [Advanced programming techniques] Be able to understand and apply the principles of advanced programming techniques including recursion, dynamic memory management, STL, data structures and algorithms.; [Self learning] Be able to self-learn various programming techniques effectively.",70,30,13.0,,"Self-study & practical modules:
      39.0


Lecture:
      2.0


Tutorial:
      13.0",39.0,
12,2022,6,34.0,,COMP2113 or COMP2123 or ENGG1340,,,,COMP2119A,"Arrays, linked lists, trees and graphs; stacks and queues; symbol tables; priority queues, balanced trees; sorting algorithms; complexity analysis.","[Mathematics foundation]  understand the concept of time, space complexity and analyze the time and space complexities of an algorithm and a data structure.; [Data structures]  understand well-known generic data structures such as stack, queue, tree and related algorithms and apply them to solve problems.; [Problem solving]  design new data structures and algorithms to solve problems.; [Implementation]  implement selected data structures and algorithms.",40,60,5.0,,"Lecture:
      34.0


Tutorial:
      5.0",,
13,2022,6,34.0,,COMP2113 or COMP2123 or ENGG1340,,,,COMP2119B,"Arrays, linked lists, trees and graphs; stacks and queues; symbol tables; priority queues, balanced trees; sorting algorithms; complexity analysis.","[Mathematics foundation]  understand the concept of time, space complexity and analyze the time and space complexities of an algorithm and a data structure.; [Data structures]  understand well-known generic data structures such as stack, queue, tree and related algorithms and apply them to solve problems.; [Problem solving]  design new data structures and algorithms to solve problems.; [Implementation]  implement selected data structures and algorithms.",40,60,5.0,,"Lecture:
      34.0


Tutorial:
      5.0",,
14,2022,6,34.0,,COMP2113 or COMP2123 or ENGG1340,,,,COMP2119C,"Arrays, linked lists, trees and graphs; stacks and queues; symbol tables; priority queues, balanced trees; sorting algorithms; complexity analysis.","[Mathematics foundation]  understand the concept of time, space complexity and analyze the time and space complexities of an algorithm and a data structure.; [Data structures]  understand well-known generic data structures such as stack, queue, tree and related algorithms and apply them to solve problems.; [Problem solving]  design new data structures and algorithms to solve problems.; [Implementation]  implement selected data structures and algorithms.",40,60,5.0,,"Lecture:
      34.0


Tutorial:
      5.0",,
15,2022,6,33.0,,,COMP1117 or ENGG1330,ELEC2441,,COMP2120A,"To introduce the hardware organization of computers, and detailed operations of computers through assembly language programming.Introduction to computer organization and architecture; data representations; instruction sets; machine and assembly languages; basic logic design and integrated devices; the central processing unit and its control; memory and caches; I/O and storage systems; computer arithmetic.","[Basic Computer Organization]  Understand the basic components of a computer, including CPU, memories, and input/output, and their organization.; [Design Issues]  Understand the cost performance tradeoff in designing memory hierarchy and instruction sets.; [Assembly Language Programming]  Understand and be able to use assembly languages for solving simple problems. Understand the relationship between high level language and assembly language.; [Modern Trends]  Be able to follow the trends in computer design and appreciate the design philosophy behind.",50,50,6.0,,,,
16,2022,6,33.0,,,COMP1117 or ENGG1330,ELEC2441,,COMP2120B,"To introduce the hardware organization of computers, and detailed operations of computers through assembly language programming.Introduction to computer organization and architecture; data representations; instruction sets; machine and assembly languages; basic logic design and integrated devices; the central processing unit and its control; memory and caches; I/O and storage systems; computer arithmetic.","[Basic Computer Organization]  Understand the basic components of a computer, including CPU, memories, and input/output, and their organization.; [Design Issues]  Understand the cost performance tradeoff in designing memory hierarchy and instruction sets.; [Assembly Language Programming]  Understand and be able to use assembly languages for solving simple problems. Understand the relationship between high level language and assembly language.; [Modern Trends]  Be able to follow the trends in computer design and appreciate the design philosophy behind.",50,50,6.0,,,,
17,2022,6,33.0,,,,MATH3600,,COMP2121A,"This course provides students a solid background on discrete mathematics and structures pertinent to computer science. Topics include logic; set theory; mathematical reasoning; counting techniques; discrete probability; trees, graphs, and related algorithms; modeling computation.","[Abstract Concepts] Understand abstract mathematical concepts which are fundamental to computer science, e.g., logic, sets, functions, basic probability, graph theory.; [Proof Techniques] Be able to perform abstract thinking and present logical argument using techniques such as mathematical induction, proof by contradiction.; [Basic analysis techniques] able to apply formal reasoning to analyze and enumerate the possible outcomes of a computational problem e.g. model and compute the number of operations using recursion, counting and combinatorics.",50,50,6.0,,"Lecture:
      33.0


Tutorial:
      6.0",,
18,2022,6,33.0,,,,MATH3600,,COMP2121B,"This course provides students a solid background on discrete mathematics and structures pertinent to computer science. Topics include logic; set theory; mathematical reasoning; counting techniques; discrete probability; trees, graphs, and related algorithms; modeling computation.","[Abstract Concepts] Understand abstract mathematical concepts which are fundamental to computer science, e.g., logic, sets, functions, basic probability, graph theory.; [Proof Techniques] Be able to perform abstract thinking and present logical argument using techniques such as mathematical induction, proof by contradiction.; [Basic analysis techniques] able to apply formal reasoning to analyze and enumerate the possible outcomes of a computational problem e.g. model and compute the number of operations using recursion, counting and combinatorics.",50,50,6.0,,"Lecture:
      33.0


Tutorial:
      6.0",,
19,2022,6,33.0,,,,MATH3600,,COMP2121C,"This course provides students a solid background on discrete mathematics and structures pertinent to computer science. Topics include logic; set theory; mathematical reasoning; counting techniques; discrete probability; trees, graphs, and related algorithms; modeling computation.","[Abstract Concepts] Understand abstract mathematical concepts which are fundamental to computer science, e.g., logic, sets, functions, basic probability, graph theory.; [Proof Techniques] Be able to perform abstract thinking and present logical argument using techniques such as mathematical induction, proof by contradiction.; [Basic analysis techniques] able to apply formal reasoning to analyze and enumerate the possible outcomes of a computational problem e.g. model and compute the number of operations using recursion, counting and combinatorics.",50,50,6.0,,"Lecture:
      33.0


Tutorial:
      6.0",,
20,2022,6,26.0,,COMP2113 or COMP2123 or ENGG1340,,ELEC2543 or FITE2000,,COMP2396A,Introduction to object-oriented programming; abstract data types and classes; inheritance and polymorphism; object-oriented program design; Java language and its program development environment; user interfaces and GUI programming; collection class and iteration protocol; program documentation.,"[Object-oriented Programming] Be able to understand better the object-oriented approach in programming. Students should be able to analyze and design a computer program to solve real world problems based on object-oriented principles.; [Java Programming Language] Be able to write computer programs to solve real world problems in Java; [Good Documentation Practices] To learn and appreciate the importance and merits of proper comments in source code and API documentations; [GUI Programming] Be able to write simple GUI interfaces for a computer program to interact with users, and to understand the event-based GUI handling principles.",50,50,26.0,,,,
21,2022,6,26.0,,COMP2113 or COMP2123 or ENGG1340,,ELEC2543 or FITE2000,,COMP2396B,Introduction to object-oriented programming; abstract data types and classes; inheritance and polymorphism; object-oriented program design; Java language and its program development environment; user interfaces and GUI programming; collection class and iteration protocol; program documentation.,"[Object-oriented Programming] Be able to understand better the object-oriented approach in programming. Students should be able to analyze and design a computer program to solve real world problems based on object-oriented principles.; [Java Programming Language] Be able to write computer programs to solve real world problems in Java; [Good Documentation Practices] To learn and appreciate the importance and merits of proper comments in source code and API documentations; [GUI Programming] Be able to write simple GUI interfaces for a computer program to interact with users, and to understand the event-based GUI handling principles.",50,50,26.0,,,,
22,2022,6,,,FITE1010 or MATH1853 or MATH2101; and COMP2119 or ELEC2543 or FITE2000,,,,FITE2010,"This course introduces basic theories of blockchain and distributed ledger, which includes basic cryptography, public key cryptosystem, distributed computing and consensus protocols. Financial applications of blockchain and distributed ledger will be discussed.","[Technical foundation] Identify key components behind the design of a distributed ledger (and blockchain) and evaluate different designs/solutions for implementing a distributed ledge.; [Applications and programming] Understand the types of applications that best fit the model of distributed ledger; program applications on some popular platforms.; [Cryptocurrency and related issues] Understand the technologies behind different cryptocurrencies, their applications, and related issues (e.g. Regulations).; [Limitations and extensions] Understand the limitations, pros and cons of a distributive ledger, possible enhancements to existing platforms, and identify new applications.",40,60,6.0,,,,
23,2022,6,39.0,,COMP2113 or COMP2123 or ENGG1340; and COMP2120 or ELEC2441,,,,COMP3230A,"Operating system structures, process and thread, CPU scheduling, process synchronization, deadlocks, memory management, file systems, I/O systems and device driver, mass-storage structure and disk scheduling, case studies.","[Fundamentals] Be able to discuss the characteristics of different structures of the Operating Systems (such as microkernel, layered, virtualization, etc.) and identify the core functions of the Operating Systems.; [Principles] Be able to explain the principles and compare the algorithms on which the core functions of the Operating Systems are built on.; [Performance] Be able to analyze and evaluate the algorithms of the core functions of the Operating Systems and explain the major performance issues with regard to the core functions.; [Practicability] Be able to demonstrate knowledge in applying system software and tools available in modern operating system (such as threads, system calls, semaphores, etc.) for software development.",50,50,,,,,
24,2022,6,39.0,,COMP2113 or COMP2123 or ENGG1340; and COMP2120 or ELEC2441,,,,COMP3230B,"Operating system structures, process and thread, CPU scheduling, process synchronization, deadlocks, memory management, file systems, I/O systems and device driver, mass-storage structure and disk scheduling, case studies.","[Fundamentals] Be able to discuss the characteristics of different structures of the Operating Systems (such as microkernel, layered, virtualization, etc.) and identify the core functions of the Operating Systems.; [Principles] Be able to explain the principles and compare the algorithms on which the core functions of the Operating Systems are built on.; [Performance] Be able to analyze and evaluate the algorithms of the core functions of the Operating Systems and explain the major performance issues with regard to the core functions.; [Practicability] Be able to demonstrate knowledge in applying system software and tools available in modern operating system (such as threads, system calls, semaphores, etc.) for software development.",50,50,,,,,
25,2022,6,37.0,4.0,COMP2113 or COMP2123 or ELEC2543 or ENGG1340; and COMP2120 or ELEC2441,,ELEC3443,,COMP3234A,Network structure and architecture; reference models; stop and wait protocol; sliding window protocols; virtual circuits and datagrams; IP addressing and routing; flow control; congestion control; local area networks; transport protocols and application layer; and examples of network protocols.,"[Concepts] Be able to explain the terminologies of computer networks, such as host, links, protocol stack, access/core network, throughput, etc.; be able to describe the services and functions provided by each layer in the Internet protocol stack.; [Technologies and Protocols] Be able to describe the working principles behind key network technologies, such as circuit/packet switching, reliable data transfer, flow/congestion control, routing, multiple access, etc., and key protocols used in modern computer networks, such as 802.11 WiFi, Ethernet, ARP, IP, TCP, etc.; [Analysis] Be able to calculate packet delay, throughput, and channel efficiency according to different network protocols; be able to carry out reliable data transfer protocols and routing algorithms in given networks.; [Implementation] Be able to demonstrate knowledge in using Socket Interface to design and implement network protocols, such as designing a network application, implementing a reliable data transfer protocol in given networks.; [Practicability] Be able to plan for IP networks and properly assign IP addresses to interfaces in given networks.",50,50,5.0,,,,
26,2022,6,37.0,4.0,COMP2113 or COMP2123 or ELEC2543 or ENGG1340; and COMP2120 or ELEC2441,,ELEC3443,,COMP3234B,Network structure and architecture; reference models; stop and wait protocol; sliding window protocols; virtual circuits and datagrams; IP addressing and routing; flow control; congestion control; local area networks; transport protocols and application layer; and examples of network protocols.,"[Concepts] Be able to explain the terminologies of computer networks, such as host, links, protocol stack, access/core network, throughput, etc.; be able to describe the services and functions provided by each layer in the Internet protocol stack.; [Technologies and Protocols] Be able to describe the working principles behind key network technologies, such as circuit/packet switching, reliable data transfer, flow/congestion control, routing, multiple access, etc., and key protocols used in modern computer networks, such as 802.11 WiFi, Ethernet, ARP, IP, TCP, etc.; [Analysis] Be able to calculate packet delay, throughput, and channel efficiency according to different network protocols; be able to carry out reliable data transfer protocols and routing algorithms in given networks.; [Implementation] Be able to demonstrate knowledge in using Socket Interface to design and implement network protocols, such as designing a network application, implementing a reliable data transfer protocol in given networks.; [Practicability] Be able to plan for IP networks and properly assign IP addresses to interfaces in given networks.",50,50,5.0,,,,
27,2022,6,,,,,COMP3250 or COMP3252,,COMP3251,"The course introduces various algorithm design techniques, including divide and conquer, greedy, and dynamic programming, and studies selected topics on graph algorithms. These techniques can be used to design better algorithms in various areas of computer science. The course also gives an overview of NP-complete problems.",,50,50,,,,,
28,2022,6,,,,,COMP3250 or COMP3251,,COMP3252,"The course studies principles of algorithm design and the analysis of sophisticated algorithms (regarding proof of correctness and time complexity). Topics include divide-and-conquer, dynamic programming, greedy algorithms, graph algorithms, network flow, geometric algorithms, and NP-completeness.  The course puts emphasis on mathematical rigor; it expects students to figure out the mathematics and logic that make algorithms work.  Students can form pairs to discuss the assignments and are required to write rigorous proofs of correctness and analysis independently.",,50,50,,,,,
29,2022,6,31.0,,COMP2119 or COMP2502 or ELEC2543 or FITE2000,,IIMT3601,,COMP3278A,"This course studies the principles, design, administration, and implementation of database management systems.  Topics include: entity-relationship model, relational model, relational algebra, database design and normalization, database query languages, indexing schemes, integrity and concurrency control.",[Information Modeling] Able to understand the modeling of real-life information in a database system.; [Query Languages] Able to understand and use the languages designed for data access.; [System Design]     Able to understand the design issues of an efficient and reliable database system.; [Application Development] Able to implement a practical application on a real database.,50,50,8.0,,,,
30,2022,6,31.0,,COMP2119 or COMP2502 or ELEC2543 or FITE2000,,IIMT3601,,COMP3278B,"This course studies the principles, design, administration, and implementation of database management systems.  Topics include: entity-relationship model, relational model, relational algebra, database design and normalization, database query languages, indexing schemes, integrity and concurrency control.",[Information Modeling] Able to understand the modeling of real-life information in a database system.; [Query Languages] Able to understand and use the languages designed for data access.; [System Design]     Able to understand the design issues of an efficient and reliable database system.; [Application Development] Able to implement a practical application on a real database.,50,50,8.0,,,,
31,2022,6,36.0,,COMP2113 or COMP2123 or ENGG1340,,IIMT3602,,COMP3297A,"This course introduces the fundamental principles, methodologies and practices of modern software engineering. It covers the software process, and development activities including requirements engineering, software design, testing, deployment and evolution. The course emphasizes the use of contemporary tools, frameworks and techniques. It features a complete agile development project in which students work in teams to engineer and cloud-deploy a software service to satisfy their clients’ needs.","[Software engineering foundation] Able to demonstrate an understanding of the software development process and activities including the analysis, design, implementation, testing and deployment of contemporary software systems.; [Software engineering methodology] Able to apply the software process and process activities to real-world software development.; [Software engineering tools and techniques] Able to use industry standard tools and techniques for software development.; [Software engineering practice] Able to plan, work and contribute effectively as a member of self-organizing software development teams.",50,50,3.0,,,,
32,2022,6,36.0,,COMP2113 or COMP2123 or ENGG1340,,IIMT3602,,COMP3297B,"This course introduces the fundamental principles, methodologies and practices of modern software engineering. It covers the software process, and development activities including requirements engineering, software design, testing, deployment and evolution. The course emphasizes the use of contemporary tools, frameworks and techniques. It features a complete agile development project in which students work in teams to engineer and cloud-deploy a software service to satisfy their clients’ needs.","[Software engineering foundation] Able to demonstrate an understanding of the software development process and activities including the analysis, design, implementation, testing and deployment of contemporary software systems.; [Software engineering methodology] Able to apply the software process and process activities to real-world software development.; [Software engineering tools and techniques] Able to use industry standard tools and techniques for software development.; [Software engineering practice] Able to plan, work and contribute effectively as a member of self-organizing software development teams.",50,50,3.0,,,,
33,2022,0,,,,,,,COMP3410A,"The course consists of two components: internship and professionalism. Internship requires students to spend a minimum of four weeks employed, full-time, as IT interns or trainees. During this period, they are engaged in work of direct relevance to their programme of study. The Internship provides students with practical, real-world experience and represents a valuable complement to their academic training. Professionalism exposes students to social and professional issues in computing. Students need to understand their professional roles when working as computer professionals as well as the responsibility that they will bear. They also need to develop the ability to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions. Topics include social context of computing, risks, safety and security concerns for computer professionals, professional and ethical responsibilities, and continuing professional development.","[Working Experience] Gain solid, practical experience in a job placement related to the field of IT.; [Communication] Develop effective technical and interpersonal communication skills for engagement with people of diverse backgrounds in a work environment.; [Professionalism] Recognize the responsibilities of computer professionals, and have the commitment to professionalism.; [IT and society] Able to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions.; [CPD] Recognize the importance of continual development as a computing professional.",,,,,,,
34,2022,0,,,,,,,COMP3410B,"The course consists of two components: internship and professionalism. Internship requires students to spend a minimum of four weeks employed, full-time, as IT interns or trainees. During this period, they are engaged in work of direct relevance to their programme of study. The Internship provides students with practical, real-world experience and represents a valuable complement to their academic training. Professionalism exposes students to social and professional issues in computing. Students need to understand their professional roles when working as computer professionals as well as the responsibility that they will bear. They also need to develop the ability to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions. Topics include social context of computing, risks, safety and security concerns for computer professionals, professional and ethical responsibilities, and continuing professional development.","[Working Experience] Gain solid, practical experience in a job placement related to the field of IT.; [Communication] Develop effective technical and interpersonal communication skills for engagement with people of diverse backgrounds in a work environment.; [Professionalism] Recognize the responsibilities of computer professionals, and have the commitment to professionalism.; [IT and society] Able to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions.; [CPD] Recognize the importance of continual development as a computing professional.",,,,,,,
35,2022,6,,,,,,,COMP3412A,"The course consists of two components: internship and professionalism. Internship requires students to spend a minimum of four weeks employed, full-time, as IT interns or trainees. During this period, they are engaged in work of direct relevance to their programme of study. The Internship provides students with practical, real-world experience and represents a valuable complement to their academic training. Professionalism exposes students to social and professional issues in computing. Students need to understand their professional roles when working as computer professionals as well as the responsibility that they will bear. They also need to develop the ability to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions. Topics include social context of computing, risks, safety and security concerns for computer professionals, professional and ethical responsibilities, and continuing professional development.","[Working Experience] Gain solid, practical experience in a job placement related to the field of IT.; [Commuication] Develop effective technical and interpersonal communication skills for engagement with people of diverse backgrounds in a work environment.; [Professionalism] Recognize the responsibilities of computer professionals, and have the commitment to professionalism.; [IT and society] Able to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions.; [CPD] Recognize the importance of continual development as a computing professional.",100,,,,,,
36,2022,6,,,,,,,COMP3412B,"The course consists of two components: internship and professionalism. Internship requires students to spend a minimum of four weeks employed, full-time, as IT interns or trainees. During this period, they are engaged in work of direct relevance to their programme of study. The Internship provides students with practical, real-world experience and represents a valuable complement to their academic training. Professionalism exposes students to social and professional issues in computing. Students need to understand their professional roles when working as computer professionals as well as the responsibility that they will bear. They also need to develop the ability to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions. Topics include social context of computing, risks, safety and security concerns for computer professionals, professional and ethical responsibilities, and continuing professional development.","[Working Experience] Gain solid, practical experience in a job placement related to the field of IT.; [Commuication] Develop effective technical and interpersonal communication skills for engagement with people of diverse backgrounds in a work environment.; [Professionalism] Recognize the responsibilities of computer professionals, and have the commitment to professionalism.; [IT and society] Able to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions.; [CPD] Recognize the importance of continual development as a computing professional.",100,,,,,,
37,2022,12,,,,,COMP4802,,COMP4801,"Student individuals or groups, during the final year of their studies, undertake full end-toend development of a substantial project, taking it from initial concept through to final delivery. Topics range from applied software development to assignments on basic research. In case of a team project, significant contribution is required from each member and students are assessed individually, such that each student is given a separate project title. Strict standards of quality will be enforced throughout the project development.","[Knowledge of computing] Students' ability to apply knowledge of computing to solving the problem in the project.; [Problem identification] Students’ ability to identify and define the computing requirements appropriate to the project scenario.; [Problem analysis] Students’ ability to analyze the identified problem.; [System design] Students’ ability to design a computer-based system, process, component, or programme to meet desired needs.; [System implementation] Students' ability to implement a computer-based system, process, component, or programme to meet desired needs.; [System evaluation] Students’ ability to evaluate how effective the proposed solution is and how it can be made more effective.; [Teamwork] Students’ ability to function effectively on teams to accomplish a common goal.; [Professional practices] Students’ ability to understand the professional, ethical, legal, security and social issues and responsibilities.; [Communication] Students’ ability to communicate effectively with a range of audiences (On the project objectives, project achievements and project impact).; [Analyzing project impact] Students’ ability to analyze the local and global impact of the project on individuals, organizations, and society.; [Continuous improvement] Students’ ability to engage, or recognize the need of continuing professional development of the project.; [Contemporary knowledge] Students’ ability to use current techniques, skills, and tools necessary for computing practice with an understanding of the limitations.",100,,,,,,
