,Course Code,Course Title,Course Description,Learning Outcomes
10,COMP2113B,Programming Technologies,"This course covers intermediate to advanced computer programming topics on various technologies and tools that are useful for software development. Topics include Linux shell commands, shell scripts, C/C++ programming, and separate compilation techniques and version control.  This is a self-learning course; there will be no lecture and students will be provided with self-study materials.  Students are required to complete milestone-based self-assessment tasks during the course.  This course is designed for students who are interested in Computer Science / Computer Engineering.","[Programming environment and technologies] Able to work comfortably on the Linux platform and utilize its basic functionalities for program development.; [Problem solving and program implementation] Able to understand and analyse a problem and implement appropriate solutions correctly using C/C++. Able to utilize debuggers and techniques like separate compilation, make files and version control to simplify and manage the program development process.; [Advanced programming techniques] Be able to understand and apply the principles of advanced programming techniques including recursion, dynamic memory management, STL, data structures and algorithms.; [Self learning] Be able to self-learn various programming techniques effectively."
11,COMP2113C,Programming Technologies,"This course covers intermediate to advanced computer programming topics on various technologies and tools that are useful for software development. Topics include Linux shell commands, shell scripts, C/C++ programming, and separate compilation techniques and version control.  This is a self-learning course; there will be no lecture and students will be provided with self-study materials.  Students are required to complete milestone-based self-assessment tasks during the course.  This course is designed for students who are interested in Computer Science / Computer Engineering.","[Programming environment and technologies] Able to work comfortably on the Linux platform and utilize its basic functionalities for program development.; [Problem solving and program implementation] Able to understand and analyse a problem and implement appropriate solutions correctly using C/C++. Able to utilize debuggers and techniques like separate compilation, make files and version control to simplify and manage the program development process.; [Advanced programming techniques] Be able to understand and apply the principles of advanced programming techniques including recursion, dynamic memory management, STL, data structures and algorithms.; [Self learning] Be able to self-learn various programming techniques effectively."
12,COMP2119A,Introduction to Data Structures and Algorithms (CS),"Arrays, linked lists, trees and graphs; stacks and queues; symbol tables; priority queues, balanced trees; sorting algorithms; complexity analysis.","[Mathematics foundation]  understand the concept of time, space complexity and analyze the time and space complexities of an algorithm and a data structure.; [Data structures]  understand well-known generic data structures such as stack, queue, tree and related algorithms and apply them to solve problems.; [Problem solving]  design new data structures and algorithms to solve problems.; [Implementation]  implement selected data structures and algorithms."
13,COMP2119B,"Introduction to Data Structures and Algorithms  (CE, IS, DA, Minor, 2nd Major)","Arrays, linked lists, trees and graphs; stacks and queues; symbol tables; priority queues, balanced trees; sorting algorithms; complexity analysis.","[Mathematics foundation]  understand the concept of time, space complexity and analyze the time and space complexities of an algorithm and a data structure.; [Data structures]  understand well-known generic data structures such as stack, queue, tree and related algorithms and apply them to solve problems.; [Problem solving]  design new data structures and algorithms to solve problems.; [Implementation]  implement selected data structures and algorithms."
14,COMP2119C,"Introduction to Data Structures and Algorithms (CS, CE, IS, DA, Minor, 2nd Major)","Arrays, linked lists, trees and graphs; stacks and queues; symbol tables; priority queues, balanced trees; sorting algorithms; complexity analysis.","[Mathematics foundation]  understand the concept of time, space complexity and analyze the time and space complexities of an algorithm and a data structure.; [Data structures]  understand well-known generic data structures such as stack, queue, tree and related algorithms and apply them to solve problems.; [Problem solving]  design new data structures and algorithms to solve problems.; [Implementation]  implement selected data structures and algorithms."
15,COMP2120A,Computer Organization (CS),"To introduce the hardware organization of computers, and detailed operations of computers through assembly language programming.Introduction to computer organization and architecture; data representations; instruction sets; machine and assembly languages; basic logic design and integrated devices; the central processing unit and its control; memory and caches; I/O and storage systems; computer arithmetic.","[Basic Computer Organization]  Understand the basic components of a computer, including CPU, memories, and input/output, and their organization.; [Design Issues]  Understand the cost performance tradeoff in designing memory hierarchy and instruction sets.; [Assembly Language Programming]  Understand and be able to use assembly languages for solving simple problems. Understand the relationship between high level language and assembly language.; [Modern Trends]  Be able to follow the trends in computer design and appreciate the design philosophy behind."
16,COMP2120B,"Computer Organization (IS, 2nd Major)","To introduce the hardware organization of computers, and detailed operations of computers through assembly language programming.Introduction to computer organization and architecture; data representations; instruction sets; machine and assembly languages; basic logic design and integrated devices; the central processing unit and its control; memory and caches; I/O and storage systems; computer arithmetic.","[Basic Computer Organization]  Understand the basic components of a computer, including CPU, memories, and input/output, and their organization.; [Design Issues]  Understand the cost performance tradeoff in designing memory hierarchy and instruction sets.; [Assembly Language Programming]  Understand and be able to use assembly languages for solving simple problems. Understand the relationship between high level language and assembly language.; [Modern Trends]  Be able to follow the trends in computer design and appreciate the design philosophy behind."
17,COMP2121A,Discrete Mathematics (CS),"This course provides students a solid background on discrete mathematics and structures pertinent to computer science. Topics include logic; set theory; mathematical reasoning; counting techniques; discrete probability; trees, graphs, and related algorithms; modeling computation.","[Abstract Concepts] Understand abstract mathematical concepts which are fundamental to computer science, e.g., logic, sets, functions, basic probability, graph theory.; [Proof Techniques] Be able to perform abstract thinking and present logical argument using techniques such as mathematical induction, proof by contradiction.; [Basic analysis techniques] able to apply formal reasoning to analyze and enumerate the possible outcomes of a computational problem e.g. model and compute the number of operations using recursion, counting and combinatorics."
18,COMP2121B,"Discrete Mathematics (CS, CE, IS)","This course provides students a solid background on discrete mathematics and structures pertinent to computer science. Topics include logic; set theory; mathematical reasoning; counting techniques; discrete probability; trees, graphs, and related algorithms; modeling computation.","[Abstract Concepts] Understand abstract mathematical concepts which are fundamental to computer science, e.g., logic, sets, functions, basic probability, graph theory.; [Proof Techniques] Be able to perform abstract thinking and present logical argument using techniques such as mathematical induction, proof by contradiction.; [Basic analysis techniques] able to apply formal reasoning to analyze and enumerate the possible outcomes of a computational problem e.g. model and compute the number of operations using recursion, counting and combinatorics."
19,COMP2121C,"Discrete Mathematics (CS, CE, IS, 2nd Major)","This course provides students a solid background on discrete mathematics and structures pertinent to computer science. Topics include logic; set theory; mathematical reasoning; counting techniques; discrete probability; trees, graphs, and related algorithms; modeling computation.","[Abstract Concepts] Understand abstract mathematical concepts which are fundamental to computer science, e.g., logic, sets, functions, basic probability, graph theory.; [Proof Techniques] Be able to perform abstract thinking and present logical argument using techniques such as mathematical induction, proof by contradiction.; [Basic analysis techniques] able to apply formal reasoning to analyze and enumerate the possible outcomes of a computational problem e.g. model and compute the number of operations using recursion, counting and combinatorics."
20,COMP2396A,Object-oriented Programming and Java (CS),Introduction to object-oriented programming; abstract data types and classes; inheritance and polymorphism; object-oriented program design; Java language and its program development environment; user interfaces and GUI programming; collection class and iteration protocol; program documentation.,"[Object-oriented Programming] Be able to understand better the object-oriented approach in programming. Students should be able to analyze and design a computer program to solve real world problems based on object-oriented principles.; [Java Programming Language] Be able to write computer programs to solve real world problems in Java; [Good Documentation Practices] To learn and appreciate the importance and merits of proper comments in source code and API documentations; [GUI Programming] Be able to write simple GUI interfaces for a computer program to interact with users, and to understand the event-based GUI handling principles."
21,COMP2396B,Object-oriented Programming and Java,Introduction to object-oriented programming; abstract data types and classes; inheritance and polymorphism; object-oriented program design; Java language and its program development environment; user interfaces and GUI programming; collection class and iteration protocol; program documentation.,"[Object-oriented Programming] Be able to understand better the object-oriented approach in programming. Students should be able to analyze and design a computer program to solve real world problems based on object-oriented principles.; [Java Programming Language] Be able to write computer programs to solve real world problems in Java; [Good Documentation Practices] To learn and appreciate the importance and merits of proper comments in source code and API documentations; [GUI Programming] Be able to write simple GUI interfaces for a computer program to interact with users, and to understand the event-based GUI handling principles."
22,FITE2010,Distributed Ledger and Blockchain,"This course introduces basic theories of blockchain and distributed ledger, which includes basic cryptography, public key cryptosystem, distributed computing and consensus protocols. Financial applications of blockchain and distributed ledger will be discussed.","[Technical foundation] Identify key components behind the design of a distributed ledger (and blockchain) and evaluate different designs/solutions for implementing a distributed ledge.; [Applications and programming] Understand the types of applications that best fit the model of distributed ledger; program applications on some popular platforms.; [Cryptocurrency and related issues] Understand the technologies behind different cryptocurrencies, their applications, and related issues (e.g. Regulations).; [Limitations and extensions] Understand the limitations, pros and cons of a distributive ledger, possible enhancements to existing platforms, and identify new applications."
23,COMP3230A,Principles of Operating Systems (CS),"Operating system structures, process and thread, CPU scheduling, process synchronization, deadlocks, memory management, file systems, I/O systems and device driver, mass-storage structure and disk scheduling, case studies.","[Fundamentals] Be able to discuss the characteristics of different structures of the Operating Systems (such as microkernel, layered, virtualization, etc.) and identify the core functions of the Operating Systems.; [Principles] Be able to explain the principles and compare the algorithms on which the core functions of the Operating Systems are built on.; [Performance] Be able to analyze and evaluate the algorithms of the core functions of the Operating Systems and explain the major performance issues with regard to the core functions.; [Practicability] Be able to demonstrate knowledge in applying system software and tools available in modern operating system (such as threads, system calls, semaphores, etc.) for software development."
24,COMP3230B,"Principles of Operating Systems (CE, IS, 2nd Major)","Operating system structures, process and thread, CPU scheduling, process synchronization, deadlocks, memory management, file systems, I/O systems and device driver, mass-storage structure and disk scheduling, case studies.","[Fundamentals] Be able to discuss the characteristics of different structures of the Operating Systems (such as microkernel, layered, virtualization, etc.) and identify the core functions of the Operating Systems.; [Principles] Be able to explain the principles and compare the algorithms on which the core functions of the Operating Systems are built on.; [Performance] Be able to analyze and evaluate the algorithms of the core functions of the Operating Systems and explain the major performance issues with regard to the core functions.; [Practicability] Be able to demonstrate knowledge in applying system software and tools available in modern operating system (such as threads, system calls, semaphores, etc.) for software development."
25,COMP3234A,Computer and Communication Networks,Network structure and architecture; reference models; stop and wait protocol; sliding window protocols; virtual circuits and datagrams; IP addressing and routing; flow control; congestion control; local area networks; transport protocols and application layer; and examples of network protocols.,"[Concepts] Be able to explain the terminologies of computer networks, such as host, links, protocol stack, access/core network, throughput, etc.; be able to describe the services and functions provided by each layer in the Internet protocol stack.; [Technologies and Protocols] Be able to describe the working principles behind key network technologies, such as circuit/packet switching, reliable data transfer, flow/congestion control, routing, multiple access, etc., and key protocols used in modern computer networks, such as 802.11 WiFi, Ethernet, ARP, IP, TCP, etc.; [Analysis] Be able to calculate packet delay, throughput, and channel efficiency according to different network protocols; be able to carry out reliable data transfer protocols and routing algorithms in given networks.; [Implementation] Be able to demonstrate knowledge in using Socket Interface to design and implement network protocols, such as designing a network application, implementing a reliable data transfer protocol in given networks.; [Practicability] Be able to plan for IP networks and properly assign IP addresses to interfaces in given networks."
26,COMP3234B,Computer and Communication Networks (CS),Network structure and architecture; reference models; stop and wait protocol; sliding window protocols; virtual circuits and datagrams; IP addressing and routing; flow control; congestion control; local area networks; transport protocols and application layer; and examples of network protocols.,"[Concepts] Be able to explain the terminologies of computer networks, such as host, links, protocol stack, access/core network, throughput, etc.; be able to describe the services and functions provided by each layer in the Internet protocol stack.; [Technologies and Protocols] Be able to describe the working principles behind key network technologies, such as circuit/packet switching, reliable data transfer, flow/congestion control, routing, multiple access, etc., and key protocols used in modern computer networks, such as 802.11 WiFi, Ethernet, ARP, IP, TCP, etc.; [Analysis] Be able to calculate packet delay, throughput, and channel efficiency according to different network protocols; be able to carry out reliable data transfer protocols and routing algorithms in given networks.; [Implementation] Be able to demonstrate knowledge in using Socket Interface to design and implement network protocols, such as designing a network application, implementing a reliable data transfer protocol in given networks.; [Practicability] Be able to plan for IP networks and properly assign IP addresses to interfaces in given networks."
27,COMP3251,Algorithm Design (Regular),"The course introduces various algorithm design techniques, including divide and conquer, greedy, and dynamic programming, and studies selected topics on graph algorithms. These techniques can be used to design better algorithms in various areas of computer science. The course also gives an overview of NP-complete problems.",
28,COMP3252,Algorithm Design and Analysis (Advanced),"The course studies principles of algorithm design and the analysis of sophisticated algorithms (regarding proof of correctness and time complexity). Topics include divide-and-conquer, dynamic programming, greedy algorithms, graph algorithms, network flow, geometric algorithms, and NP-completeness.  The course puts emphasis on mathematical rigor; it expects students to figure out the mathematics and logic that make algorithms work.  Students can form pairs to discuss the assignments and are required to write rigorous proofs of correctness and analysis independently.",
29,COMP3278A,Intro. to Database Management Systems (CS),"This course studies the principles, design, administration, and implementation of database management systems.  Topics include: entity-relationship model, relational model, relational algebra, database design and normalization, database query languages, indexing schemes, integrity and concurrency control.",[Information Modeling] Able to understand the modeling of real-life information in a database system.; [Query Languages] Able to understand and use the languages designed for data access.; [System Design]     Able to understand the design issues of an efficient and reliable database system.; [Application Development] Able to implement a practical application on a real database.
30,COMP3278B,"Intro. to Database Management Systems (CE, IS, DA, 2nd Major)","This course studies the principles, design, administration, and implementation of database management systems.  Topics include: entity-relationship model, relational model, relational algebra, database design and normalization, database query languages, indexing schemes, integrity and concurrency control.",[Information Modeling] Able to understand the modeling of real-life information in a database system.; [Query Languages] Able to understand and use the languages designed for data access.; [System Design]     Able to understand the design issues of an efficient and reliable database system.; [Application Development] Able to implement a practical application on a real database.
31,COMP3297A,Software Engineering (CS),"This course introduces the fundamental principles, methodologies and practices of modern software engineering. It covers the software process, and development activities including requirements engineering, software design, testing, deployment and evolution. The course emphasizes the use of contemporary tools, frameworks and techniques. It features a complete agile development project in which students work in teams to engineer and cloud-deploy a software service to satisfy their clients’ needs.","[Software engineering foundation] Able to demonstrate an understanding of the software development process and activities including the analysis, design, implementation, testing and deployment of contemporary software systems.; [Software engineering methodology] Able to apply the software process and process activities to real-world software development.; [Software engineering tools and techniques] Able to use industry standard tools and techniques for software development.; [Software engineering practice] Able to plan, work and contribute effectively as a member of self-organizing software development teams."
32,COMP3297B,"Software Engineering (CE, IS, 2nd Major)","This course introduces the fundamental principles, methodologies and practices of modern software engineering. It covers the software process, and development activities including requirements engineering, software design, testing, deployment and evolution. The course emphasizes the use of contemporary tools, frameworks and techniques. It features a complete agile development project in which students work in teams to engineer and cloud-deploy a software service to satisfy their clients’ needs.","[Software engineering foundation] Able to demonstrate an understanding of the software development process and activities including the analysis, design, implementation, testing and deployment of contemporary software systems.; [Software engineering methodology] Able to apply the software process and process activities to real-world software development.; [Software engineering tools and techniques] Able to use industry standard tools and techniques for software development.; [Software engineering practice] Able to plan, work and contribute effectively as a member of self-organizing software development teams."
33,COMP3410A,Internship,"The course consists of two components: internship and professionalism. Internship requires students to spend a minimum of four weeks employed, full-time, as IT interns or trainees. During this period, they are engaged in work of direct relevance to their programme of study. The Internship provides students with practical, real-world experience and represents a valuable complement to their academic training. Professionalism exposes students to social and professional issues in computing. Students need to understand their professional roles when working as computer professionals as well as the responsibility that they will bear. They also need to develop the ability to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions. Topics include social context of computing, risks, safety and security concerns for computer professionals, professional and ethical responsibilities, and continuing professional development.","[Working Experience] Gain solid, practical experience in a job placement related to the field of IT.; [Communication] Develop effective technical and interpersonal communication skills for engagement with people of diverse backgrounds in a work environment.; [Professionalism] Recognize the responsibilities of computer professionals, and have the commitment to professionalism.; [IT and society] Able to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions.; [CPD] Recognize the importance of continual development as a computing professional."
34,COMP3410B,Internship,"The course consists of two components: internship and professionalism. Internship requires students to spend a minimum of four weeks employed, full-time, as IT interns or trainees. During this period, they are engaged in work of direct relevance to their programme of study. The Internship provides students with practical, real-world experience and represents a valuable complement to their academic training. Professionalism exposes students to social and professional issues in computing. Students need to understand their professional roles when working as computer professionals as well as the responsibility that they will bear. They also need to develop the ability to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions. Topics include social context of computing, risks, safety and security concerns for computer professionals, professional and ethical responsibilities, and continuing professional development.","[Working Experience] Gain solid, practical experience in a job placement related to the field of IT.; [Communication] Develop effective technical and interpersonal communication skills for engagement with people of diverse backgrounds in a work environment.; [Professionalism] Recognize the responsibilities of computer professionals, and have the commitment to professionalism.; [IT and society] Able to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions.; [CPD] Recognize the importance of continual development as a computing professional."
35,COMP3412A,Internship,"The course consists of two components: internship and professionalism. Internship requires students to spend a minimum of four weeks employed, full-time, as IT interns or trainees. During this period, they are engaged in work of direct relevance to their programme of study. The Internship provides students with practical, real-world experience and represents a valuable complement to their academic training. Professionalism exposes students to social and professional issues in computing. Students need to understand their professional roles when working as computer professionals as well as the responsibility that they will bear. They also need to develop the ability to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions. Topics include social context of computing, risks, safety and security concerns for computer professionals, professional and ethical responsibilities, and continuing professional development.","[Working Experience] Gain solid, practical experience in a job placement related to the field of IT.; [Commuication] Develop effective technical and interpersonal communication skills for engagement with people of diverse backgrounds in a work environment.; [Professionalism] Recognize the responsibilities of computer professionals, and have the commitment to professionalism.; [IT and society] Able to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions.; [CPD] Recognize the importance of continual development as a computing professional."
36,COMP3412B,Internship,"The course consists of two components: internship and professionalism. Internship requires students to spend a minimum of four weeks employed, full-time, as IT interns or trainees. During this period, they are engaged in work of direct relevance to their programme of study. The Internship provides students with practical, real-world experience and represents a valuable complement to their academic training. Professionalism exposes students to social and professional issues in computing. Students need to understand their professional roles when working as computer professionals as well as the responsibility that they will bear. They also need to develop the ability to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions. Topics include social context of computing, risks, safety and security concerns for computer professionals, professional and ethical responsibilities, and continuing professional development.","[Working Experience] Gain solid, practical experience in a job placement related to the field of IT.; [Commuication] Develop effective technical and interpersonal communication skills for engagement with people of diverse backgrounds in a work environment.; [Professionalism] Recognize the responsibilities of computer professionals, and have the commitment to professionalism.; [IT and society] Able to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions.; [CPD] Recognize the importance of continual development as a computing professional."
37,COMP4801,Final Year Project,"Student individuals or groups, during the final year of their studies, undertake full end-toend development of a substantial project, taking it from initial concept through to final delivery. Topics range from applied software development to assignments on basic research. In case of a team project, significant contribution is required from each member and students are assessed individually, such that each student is given a separate project title. Strict standards of quality will be enforced throughout the project development.","[Knowledge of computing] Students' ability to apply knowledge of computing to solving the problem in the project.; [Problem identification] Students’ ability to identify and define the computing requirements appropriate to the project scenario.; [Problem analysis] Students’ ability to analyze the identified problem.; [System design] Students’ ability to design a computer-based system, process, component, or programme to meet desired needs.; [System implementation] Students' ability to implement a computer-based system, process, component, or programme to meet desired needs.; [System evaluation] Students’ ability to evaluate how effective the proposed solution is and how it can be made more effective.; [Teamwork] Students’ ability to function effectively on teams to accomplish a common goal.; [Professional practices] Students’ ability to understand the professional, ethical, legal, security and social issues and responsibilities.; [Communication] Students’ ability to communicate effectively with a range of audiences (On the project objectives, project achievements and project impact).; [Analyzing project impact] Students’ ability to analyze the local and global impact of the project on individuals, organizations, and society.; [Continuous improvement] Students’ ability to engage, or recognize the need of continuing professional development of the project.; [Contemporary knowledge] Students’ ability to use current techniques, skills, and tools necessary for computing practice with an understanding of the limitations."
38,COMP4802A,Extended Final Year Project,,"[Process]  Plan and carry out the full lifecycle of software projects similar in scope to what students are expected to undertake after graduation;; [Application]  Apply the knowledge, methodology and techniques of undergraduate courses to practical projects in a professional manner;; [Communication]  Communicate with users and peers with regard to user requirements and technical concepts verbally (via meetings and presentations), in writing (via reports) and in action (via demonstrations);; [Decision Making]  Overcome unforeseen problems, make informed decisions, and work under the constraints of limited time, human and financial resources."
39,COMP4802B,Extended Final Year Project,,"[Process]  Plan and carry out the full lifecycle of software projects similar in scope to what students are expected to undertake after graduation;; [Application]  Apply the knowledge, methodology and techniques of undergraduate courses to practical projects in a professional manner;; [Communication]  Communicate with users and peers with regard to user requirements and technical concepts verbally (via meetings and presentations), in writing (via reports) and in action (via demonstrations);; [Decision Making]  Overcome unforeseen problems, make informed decisions, and work under the constraints of limited time, human and financial resources."
40,COMP4802A,Extended Final Year Project,,"[Process]  Plan and carry out the full lifecycle of software projects similar in scope to what students are expected to undertake after graduation;; [Application]  Apply the knowledge, methodology and techniques of undergraduate courses to practical projects in a professional manner;; [Communication]  Communicate with users and peers with regard to user requirements and technical concepts verbally (via meetings and presentations), in writing (via reports) and in action (via demonstrations);; [Decision Making]  Overcome unforeseen problems, make informed decisions, and work under the constraints of limited time, human and financial resources."
41,COMP4802B,Extended Final Year Project,,"[Process]  Plan and carry out the full lifecycle of software projects similar in scope to what students are expected to undertake after graduation;; [Application]  Apply the knowledge, methodology and techniques of undergraduate courses to practical projects in a professional manner;; [Communication]  Communicate with users and peers with regard to user requirements and technical concepts verbally (via meetings and presentations), in writing (via reports) and in action (via demonstrations);; [Decision Making]  Overcome unforeseen problems, make informed decisions, and work under the constraints of limited time, human and financial resources."
42,COMP4804,Computing and Data Analytics Project (CDA),"Students during the final year of their studies undertake a substantial project, taking it from initial concept through to final delivery, and integrating their knowledge and skills on computing.","[Process] Plan and carry out the full lifecycle of software projects similar in scope to what students are expected to undertake after graduation;; [Application] Apply the knowledge, methodology and techniques of undergraduate courses to practical projects in a professional manner;; [Communication] Communicate with users and peers with regard to user requirements and technical concepts verbally (via meetings and presentations), in writing (via reports) and in action (via demonstrations);; [Decision Making] Overcome unforeseen problems, make informed decisions, and work under the constraints of limited time, human and financial resources."
43,COMP4805,Project (2nd Major),"Students during the final year of their studies undertake a substantial project, taking it from initial concept through to final delivery, and integrating their knowledge and skills on computing.","[Process] Plan and carry out the full lifecycle of software projects similar in scope to what students are expected to undertake after graduation;; [Application] Apply the knowledge, methodology and techniques of undergraduate courses to practical projects in a professional manner;; [Communication] Communicate with users and peers with regard to user requirements and technical cocepts verbally (via meetings and presentations), in writing (via reports) and in action (via demonstrations);; [Decision Making] Overcome unforeseen problems, make informed decisions, and work under the constraints of limited time, human and financial resources."
