,user_email,actual_string,result,rating
119,28,physics like biology and homeopathy,BIOL3506: Evolutionary biology,3
120,29,biology,CHEM4444: Chemical biology,4
121,29,biology,BIOL4963: Molecular biology & biotechnology internship,4
122,29,biology,BIOC4613: Advanced techniques in biochemistry & molecular biology,4
123,29,biology,BIOL3506: Evolutionary biology,4
124,29,biology,BIOL1110: From molecules to cells,4
125,31,molecular biology,CHEM4444: Chemical biology,2
126,31,molecular biology,CHEM4542: Computational chemistry,2
127,31,molecular biology,BIOC2600: Basic biochemistry,3
128,31,molecular biology,BIOL1110: From molecules to cells,5
129,31,molecular biology,BIOL4963: Molecular biology & biotechnology internship,5
130,32,ecology,BIOL3303: Conservation biology,4
131,32,ecology,ENVS1301: Environmental life science,4
132,32,ecology,BIOL3109: Environmental and molecular ecology,4
133,32,ecology,BIOL4861: Ecology & biodiversity internship,3
134,32,ecology,ENVS3020: Global change ecology,5
135,33,I am interested in Environmental Science.,ENVS1301: Environmental life science,5
136,33,I am interested in Environmental Science.,SCNC1112: Fundamentals of modern science,3
137,33,I am interested in Environmental Science.,BIOL3994: Directed studies in biological sciences,3
138,33,I am interested in Environmental Science.,BIOL3303: Conservation biology,4
139,33,I am interested in Environmental Science.,BIOL4861: Ecology & biodiversity internship,5
140,35,"hey dumb ass, i want to study statistical modeling",COMP2121A: Discrete Mathematics (CS),2
141,35,"hey dumb ass, i want to study statistical modeling","COMP2121B: Discrete Mathematics (CS, CE, IS)",2
142,35,"hey dumb ass, i want to study statistical modeling","COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",2
143,35,"hey dumb ass, i want to study statistical modeling",STAT3622: Data visualization,4
144,35,"hey dumb ass, i want to study statistical modeling",APAI3021: Modern biostatistics,4
145,36,"fuck you idiot, give me some python programming course",COMP2396B: Object-oriented Programming and Java,4
146,36,"fuck you idiot, give me some python programming course",COMP2396A: Object-oriented Programming and Java (CS),4
147,36,"fuck you idiot, give me some python programming course",COMP3259: Principles of Programming Languages,5
148,36,"fuck you idiot, give me some python programming course",COMP3329: Computer Game Design and Programming,3
149,36,"fuck you idiot, give me some python programming course","COMP2120B: Computer Organization (IS, 2nd Major)",4
150,37,statistics and programming like R language and python,COMP3259: Principles of Programming Languages,4
151,37,statistics and programming like R language and python,COMP2396B: Object-oriented Programming and Java,5
152,37,statistics and programming like R language and python,COMP2396A: Object-oriented Programming and Java (CS),5
153,37,statistics and programming like R language and python,STAT2604: Introduction to R/Python programming and elementary data analysis,5
154,37,statistics and programming like R language and python,COMP2502: Computing Fundamentals (Minor in DS&E only),4
155,38,linear algebra,MATH7502: Topics in applied discrete mathematics,3
156,38,linear algebra,MATH1009: Basic mathematics for business and economics,1
157,38,linear algebra,COMP2121A: Discrete Mathematics (CS),2
158,38,linear algebra,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",2
159,38,linear algebra,"COMP2121B: Discrete Mathematics (CS, CE, IS)",2
160,39,"i love earth science related stuff, can you recommend me some course?",PHYS1055: How things work,1
161,39,"i love earth science related stuff, can you recommend me some course?",SCNC1112: Fundamentals of modern science,4
162,39,"i love earth science related stuff, can you recommend me some course?",EASC1401: Blue Planet,5
163,39,"i love earth science related stuff, can you recommend me some course?",ENVS1301: Environmental life science,5
164,39,"i love earth science related stuff, can you recommend me some course?",PHYS1240: Physics by inquiry,1
165,40,optimization and gradient descent. i also want to learn about differential calculus.,PHYS2150: Methods in physics I,2
166,40,optimization and gradient descent. i also want to learn about differential calculus.,MATH3904: Introduction to optimization,5
167,40,optimization and gradient descent. i also want to learn about differential calculus.,MATH3901: Operations research I,4
168,40,optimization and gradient descent. i also want to learn about differential calculus.,PHYS2155: Methods in physics II,4
169,40,optimization and gradient descent. i also want to learn about differential calculus.,STAT4608: Market risk analysis,3
170,41,"hydrogeology, mineralogy",EASC2409: Regional field studies,4
171,41,"hydrogeology, mineralogy",EASC3410: Hydrogeology,5
172,41,"hydrogeology, mineralogy",EASC1403: Geological heritage of Hong Kong,5
173,41,"hydrogeology, mineralogy",BIOL3109: Environmental and molecular ecology,5
174,41,"hydrogeology, mineralogy",BIOL3508: Microbial physiology and biotechnology,3
175,42,"financial time series modeling, stochastic calculus?",STAT3615: Practical mathematics for investment,5
176,42,"financial time series modeling, stochastic calculus?",STAT2902: Financial mathematics,5
177,42,"financial time series modeling, stochastic calculus?",PHYS2155: Methods in physics II,2
178,42,"financial time series modeling, stochastic calculus?",PHYS2150: Methods in physics I,2
179,42,"financial time series modeling, stochastic calculus?",COMP2121A: Discrete Mathematics (CS),3
180,43,i want to work in the environment industry. I like studying rocks and the earth.,EASC1401: Blue Planet,5
181,43,i want to work in the environment industry. I like studying rocks and the earth.,ENVS1301: Environmental life science,5
182,43,i want to work in the environment industry. I like studying rocks and the earth.,EASC2404: Introduction to atmosphere and hydrosphere,5
183,43,i want to work in the environment industry. I like studying rocks and the earth.,ENVS1401: Introduction to environmental science,5
184,43,i want to work in the environment industry. I like studying rocks and the earth.,ENVS3028: Coastal Sustainability,5
185,44,i want to learn about decision theory.,MATH3600: Discrete mathematics,5
186,44,i want to learn about decision theory.,MATH3999: Directed studies in mathematics,5
187,44,i want to learn about decision theory.,ENVS1301: Environmental life science,1
188,44,i want to learn about decision theory.,PHYS1240: Physics by inquiry,2
189,44,i want to learn about decision theory.,MATH2012: Fundamental concepts of mathematics,4
190,45,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?,ENVS1301: Environmental life science,2
191,45,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?,BIOL4963: Molecular biology & biotechnology internship,4
192,45,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?,BIOL1110: From molecules to cells,5
193,45,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?,BIOL3994: Directed studies in biological sciences,5
194,45,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?,BIOL4964: Biological sciences internship,5
195,46,Maybe on natural disasters and how to prevent them,ENVS3020: Global change ecology,4
196,46,Maybe on natural disasters and how to prevent them,ENVS1401: Introduction to environmental science,4
197,46,Maybe on natural disasters and how to prevent them,BIOL3303: Conservation biology,5
198,46,Maybe on natural disasters and how to prevent them,EASC1020: Introduction to climate science,4
199,46,Maybe on natural disasters and how to prevent them,EASC1401: Blue Planet,4
200,47,matlab programming and calculation heavy,COMP2396A: Object-oriented Programming and Java (CS),1
201,47,matlab programming and calculation heavy,COMP2396B: Object-oriented Programming and Java,1
202,47,matlab programming and calculation heavy,COMP3259: Principles of Programming Languages,1
203,47,matlab programming and calculation heavy,MATH3901: Operations research I,3
204,47,matlab programming and calculation heavy,COMP3314A: Machine Learning,1
205,48,geochemistry and geochronology,EASC2409: Regional field studies,3
206,48,geochemistry and geochronology,EASC3410: Hydrogeology,3
207,48,geochemistry and geochronology,BIOL3109: Environmental and molecular ecology,3
208,48,geochemistry and geochronology,CHEM4241: Modern chemical instrumentation and applications,3
209,48,geochemistry and geochronology,EASC1403: Geological heritage of Hong Kong,3
210,50,"I am a final year chemistry student, I want to do a research project or capstone project in chemistry.",ENVS4999: Environmental science project,5
211,50,"I am a final year chemistry student, I want to do a research project or capstone project in chemistry.",CHEM4999: Chemistry project,5
212,50,"I am a final year chemistry student, I want to do a research project or capstone project in chemistry.",CHEM4910: Chemistry literacy and research,5
213,50,"I am a final year chemistry student, I want to do a research project or capstone project in chemistry.",EASC4999: Earth sciences project,1
214,50,"I am a final year chemistry student, I want to do a research project or capstone project in chemistry.",BIOL4963: Molecular biology & biotechnology internship,3
215,51,Artificial Intelligence and Big data,STAT4609: Big data analytics,5
216,51,Artificial Intelligence and Big data,FITE3010: Big Data and Data Mining,5
217,51,Artificial Intelligence and Big data,STAT2604: Introduction to R/Python programming and elementary data analysis,5
218,51,Artificial Intelligence and Big data,ENVS2001: Methods in environmental science,2
219,51,Artificial Intelligence and Big data,COMP3314A: Machine Learning,5
220,52,I want to learn chemistry and biology. Thank you.,BIOL4963: Molecular biology & biotechnology internship,4
221,52,I want to learn chemistry and biology. Thank you.,ENVS1301: Environmental life science,4
222,52,I want to learn chemistry and biology. Thank you.,CHEM4444: Chemical biology,4
223,52,I want to learn chemistry and biology. Thank you.,SCNC1112: Fundamentals of modern science,4
224,52,I want to learn chemistry and biology. Thank you.,CHEM2442: Fundamentals of organic chemistry,4
225,53,systematics and evolution,BIOL3506: Evolutionary biology,5
226,53,systematics and evolution,BIOL3109: Environmental and molecular ecology,5
227,53,systematics and evolution,SCNC1112: Fundamentals of modern science,3
228,53,systematics and evolution,BIOL3508: Microbial physiology and biotechnology,4
229,53,systematics and evolution,ENVS3020: Global change ecology,3
230,54,give me some plant related course. Dump ass,CHEM3999: Directed studies in chemistry,1
231,54,give me some plant related course. Dump ass,BIOL4964: Biological sciences internship,1
232,54,give me some plant related course. Dump ass,BIOL4861: Ecology & biodiversity internship,1
233,54,give me some plant related course. Dump ass,BIOL4962: Food & nutritional science internship,1
234,54,give me some plant related course. Dump ass,CHEM4966: Chemistry internship,1
235,55,policies about environmental preservation,BIOL3303: Conservation biology,5
236,55,policies about environmental preservation,ENVS1301: Environmental life science,5
237,55,policies about environmental preservation,ENVS1401: Introduction to environmental science,5
238,55,policies about environmental preservation,ENVS3010: Sustainable energy and environment,5
239,55,policies about environmental preservation,BIOL3109: Environmental and molecular ecology,3
240,56,hydrogeology,EASC3410: Hydrogeology,4
241,56,hydrogeology,EASC2409: Regional field studies,3
242,56,hydrogeology,EASC1403: Geological heritage of Hong Kong,2
243,56,hydrogeology,BIOL3994: Directed studies in biological sciences,4
244,56,hydrogeology,BIOL3109: Environmental and molecular ecology,4
245,57,marine and fish ecology,BIOL3303: Conservation biology,4
246,57,marine and fish ecology,ENVS1301: Environmental life science,4
247,57,marine and fish ecology,ENVS3313: Environmental oceanography,4
248,57,marine and fish ecology,BIOL3109: Environmental and molecular ecology,4
249,57,marine and fish ecology,ENVS3020: Global change ecology,4
250,58,capstone course for earth system science,SCNC1112: Fundamentals of modern science,1
251,58,capstone course for earth system science,EASC1401: Blue Planet,1
252,58,capstone course for earth system science,ENVS1301: Environmental life science,2
253,58,capstone course for earth system science,BIOL3994: Directed studies in biological sciences,5
254,58,capstone course for earth system science,EASC2404: Introduction to atmosphere and hydrosphere,2
255,59,I am a year one want to take biology major in future. Any introduction course of biology?,BIOL4963: Molecular biology & biotechnology internship,1
256,59,I am a year one want to take biology major in future. Any introduction course of biology?,ENVS1301: Environmental life science,3
257,59,I am a year one want to take biology major in future. Any introduction course of biology?,BIOL4964: Biological sciences internship,1
258,59,I am a year one want to take biology major in future. Any introduction course of biology?,BIOL4861: Ecology & biodiversity internship,1
259,59,I am a year one want to take biology major in future. Any introduction course of biology?,BIOL4962: Food & nutritional science internship,1
260,60,Machine learning,PHYS3151: Machine learning in physics,4
261,60,Machine learning,COMP3314B: Machine Learning,4
262,60,Machine learning,COMP3314C: Machine Learning,4
263,60,Machine learning,COMP3314A: Machine Learning,4
264,60,Machine learning,"COMP2120B: Computer Organization (IS, 2nd Major)",3
265,61,i want some courses on writing proofs,MATH3999: Directed studies in mathematics,4
266,61,i want some courses on writing proofs,MATH2012: Fundamental concepts of mathematics,5
267,61,i want some courses on writing proofs,STAT4767: Actuarial science internship,1
268,61,i want some courses on writing proofs,COMP4804: Computing and Data Analytics Project (CDA),2
269,61,i want some courses on writing proofs,MATH3541: Introduction to topology,2
270,62,I wanna know how food affects our body and how to build a healthy body,BIOL1201: Introduction to food and nutrition,5
271,62,I wanna know how food affects our body and how to build a healthy body,BIOL3205: Human physiology,5
272,62,I wanna know how food affects our body and how to build a healthy body,BIOL3204: Nutrition and the life cycle,5
273,62,I wanna know how food affects our body and how to build a healthy body,BIOL4209: Functional foods,5
274,62,I wanna know how food affects our body and how to build a healthy body,ENVS3028: Coastal Sustainability,1
275,63,I am interested in earth and planet,EASC1401: Blue Planet,5
276,63,I am interested in earth and planet,EASC2404: Introduction to atmosphere and hydrosphere,5
277,63,I am interested in earth and planet,PHYS4655: Interstellar medium,3
278,63,I am interested in earth and planet,EASC1020: Introduction to climate science,4
279,63,I am interested in earth and planet,ENVS3020: Global change ecology,4
280,64,Physical chemistry,CHEM2442: Fundamentals of organic chemistry,2
281,64,Physical chemistry,CHEM4341: Advanced inorganic chemistry,1
282,64,Physical chemistry,CHEM4444: Chemical biology,1
283,64,Physical chemistry,PHYS1240: Physics by inquiry,1
284,64,Physical chemistry,"CHEM4142: Symmetry, group theory and applications",1
285,65,Climate change and sustainability,ENVS3020: Global change ecology,4
286,65,Climate change and sustainability,EASC1020: Introduction to climate science,4
287,65,Climate change and sustainability,ENVS1301: Environmental life science,4
288,65,Climate change and sustainability,ENVS1401: Introduction to environmental science,4
289,65,Climate change and sustainability,BIOL3303: Conservation biology,3
290,66,game theory and statistics like counting and distributions,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",3
291,66,game theory and statistics like counting and distributions,"COMP2121B: Discrete Mathematics (CS, CE, IS)",3
292,66,game theory and statistics like counting and distributions,COMP2121A: Discrete Mathematics (CS),3
293,66,game theory and statistics like counting and distributions,PHYS2150: Methods in physics I,1
294,66,game theory and statistics like counting and distributions,STAT2604: Introduction to R/Python programming and elementary data analysis,1
295,67,I hate exam. Give me some Biochemistry courses that without exam.,STAT4767: Actuarial science internship,1
296,67,I hate exam. Give me some Biochemistry courses that without exam.,BIOL4963: Molecular biology & biotechnology internship,5
297,67,I hate exam. Give me some Biochemistry courses that without exam.,MATH3999: Directed studies in mathematics,1
298,67,I hate exam. Give me some Biochemistry courses that without exam.,BIOL4962: Food & nutritional science internship,5
299,67,I hate exam. Give me some Biochemistry courses that without exam.,BIOL4964: Biological sciences internship,5
300,68,want to learn how environment affects the society,ENVS1301: Environmental life science,3
301,68,want to learn how environment affects the society,ENVS1401: Introduction to environmental science,3
302,68,want to learn how environment affects the society,ENVS3028: Coastal Sustainability,5
303,68,want to learn how environment affects the society,ENVS3020: Global change ecology,5
304,68,want to learn how environment affects the society,EASC1401: Blue Planet,3
305,69,"environment conservation, marine life",BIOL3303: Conservation biology,5
306,69,"environment conservation, marine life",ENVS1301: Environmental life science,5
307,69,"environment conservation, marine life",ENVS3313: Environmental oceanography,5
308,69,"environment conservation, marine life",ENVS1401: Introduction to environmental science,4
309,69,"environment conservation, marine life",ENVS3020: Global change ecology,5
310,70,algorithms and data structure,COMP2119A: Introduction to Data Structures and Algorithms (CS),5
311,70,algorithms and data structure,"COMP2119C: Introduction to Data Structures and Algorithms (CS, CE, IS, DA, Minor, 2nd Major)",5
312,70,algorithms and data structure,"COMP2119B: Introduction to Data Structures and Algorithms  (CE, IS, DA, Minor, 2nd Major)",5
313,70,algorithms and data structure,MATH3943: Network models in operations research,1
314,70,algorithms and data structure,STAT2604: Introduction to R/Python programming and elementary data analysis,3
315,71,ocean and coastal,ENVS3313: Environmental oceanography,4
316,71,ocean and coastal,EASC2404: Introduction to atmosphere and hydrosphere,4
317,71,ocean and coastal,BIOL3303: Conservation biology,2
318,71,ocean and coastal,ENVS3028: Coastal Sustainability,4
319,71,ocean and coastal,EASC3410: Hydrogeology,4
320,72,Some math course for completing my decision analytics degree,MATH1009: Basic mathematics for business and economics,2
321,72,Some math course for completing my decision analytics degree,"COMP2121B: Discrete Mathematics (CS, CE, IS)",1
322,72,Some math course for completing my decision analytics degree,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",1
323,72,Some math course for completing my decision analytics degree,COMP2121A: Discrete Mathematics (CS),1
324,72,Some math course for completing my decision analytics degree,MATH7502: Topics in applied discrete mathematics,11
325,73,inorganic and organic chemistry,CHEM2442: Fundamentals of organic chemistry,4
326,73,inorganic and organic chemistry,CHEM4341: Advanced inorganic chemistry,4
327,73,inorganic and organic chemistry,"CHEM4142: Symmetry, group theory and applications",4
328,73,inorganic and organic chemistry,CHEM4444: Chemical biology,2
329,73,inorganic and organic chemistry,CHEM3445: Integrated laboratory,3
330,74,how does the earth work?,EASC1401: Blue Planet,5
331,74,how does the earth work?,EASC2404: Introduction to atmosphere and hydrosphere,4
332,74,how does the earth work?,EASC1020: Introduction to climate science,4
333,74,how does the earth work?,ENVS3313: Environmental oceanography,4
334,74,how does the earth work?,BIOL4861: Ecology & biodiversity internship,3
335,75,some theoretical maths maybe,MATH1009: Basic mathematics for business and economics,1
336,75,some theoretical maths maybe,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",2
337,75,some theoretical maths maybe,"COMP2121B: Discrete Mathematics (CS, CE, IS)",2
338,75,some theoretical maths maybe,COMP2121A: Discrete Mathematics (CS),2
339,75,some theoretical maths maybe,PHYS2155: Methods in physics II,3
340,76,Give me information about bioinformatics course,BIOL4963: Molecular biology & biotechnology internship,5
341,76,Give me information about bioinformatics course,BIOL3994: Directed studies in biological sciences,3
342,76,Give me information about bioinformatics course,BIOL4415: Healthcare biotechnology,4
343,76,Give me information about bioinformatics course,BIOC4613: Advanced techniques in biochemistry & molecular biology,3
344,76,Give me information about bioinformatics course,FITE3010: Big Data and Data Mining,3
345,77,bioinformatics course,BIOL4963: Molecular biology & biotechnology internship,4
346,77,bioinformatics course,BIOC4613: Advanced techniques in biochemistry & molecular biology,2
347,77,bioinformatics course,BIOL3508: Microbial physiology and biotechnology,4
348,77,bioinformatics course,CHEM4542: Computational chemistry,4
349,77,bioinformatics course,BIOL4415: Healthcare biotechnology,4
350,78,introduction to differential calculus and optimization,"COMP1117A: Computer Programming (ActSc, AppAI, DA, IS, Minor & 2nd Major)",1
351,78,introduction to differential calculus and optimization,PHYS1650: Nature of the universe,1
352,78,introduction to differential calculus and optimization,PHYS1240: Physics by inquiry,1
353,78,introduction to differential calculus and optimization,PHYS1150: Problem solving in physics,1
354,78,introduction to differential calculus and optimization,"PHYS1056: Weather, climate and climate change",1
355,79,some practical courses on geology? i want to go on field trips,BIOL4861: Ecology & biodiversity internship,3
356,79,some practical courses on geology? i want to go on field trips,BIOL4962: Food & nutritional science internship,1
357,79,some practical courses on geology? i want to go on field trips,BIOL4964: Biological sciences internship,1
358,79,some practical courses on geology? i want to go on field trips,EASC2409: Regional field studies,4
359,79,some practical courses on geology? i want to go on field trips,BIOL4963: Molecular biology & biotechnology internship,3
360,80,courses that will discuss about the time series,MATH3999: Directed studies in mathematics,2
361,80,courses that will discuss about the time series,STAT4767: Actuarial science internship,1
362,80,courses that will discuss about the time series,MATH4999: Mathematics project,1
363,80,courses that will discuss about the time series,COMP4804: Computing and Data Analytics Project (CDA),1
364,80,courses that will discuss about the time series,MATH3002: Mathematics seminar,1
365,81,"introduction to nutrition, biology, chemistry",CHEM4444: Chemical biology,1
366,81,"introduction to nutrition, biology, chemistry",CHEM2442: Fundamentals of organic chemistry,3
367,81,"introduction to nutrition, biology, chemistry",BIOL3508: Microbial physiology and biotechnology,2
368,81,"introduction to nutrition, biology, chemistry",BIOL4963: Molecular biology & biotechnology internship,1
369,81,"introduction to nutrition, biology, chemistry",SCNC1112: Fundamentals of modern science,2
370,82,environment and chemistry,CHEM2442: Fundamentals of organic chemistry,3
371,82,environment and chemistry,ENVS1301: Environmental life science,3
372,82,environment and chemistry,CHEM4341: Advanced inorganic chemistry,1
373,82,environment and chemistry,BIOL3508: Microbial physiology and biotechnology,2
374,82,environment and chemistry,EASC1401: Blue Planet,3
375,83,cell biology,BIOL4416: Stem cells and regenerative biology,5
376,83,cell biology,CHEM4444: Chemical biology,2
377,83,cell biology,BIOL1110: From molecules to cells,5
378,83,cell biology,BIOC2600: Basic biochemistry,2
379,83,cell biology,BIOC4613: Advanced techniques in biochemistry & molecular biology,5
380,84,Biology courses with laboratory session.,BIOC4613: Advanced techniques in biochemistry & molecular biology,4
381,84,Biology courses with laboratory session.,BIOL4963: Molecular biology & biotechnology internship,3
382,84,Biology courses with laboratory session.,BIOL3994: Directed studies in biological sciences,4
383,84,Biology courses with laboratory session.,ENVS4999: Environmental science project,3
384,84,Biology courses with laboratory session.,CHEM4444: Chemical biology,3
385,85,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?","COMP1117A: Computer Programming (ActSc, AppAI, DA, IS, Minor & 2nd Major)",1
