,Course Title,Course Description,Subject Domain,Course Code
10,Industry-Linked Design Project,"Industry-submitted and sponsored design projects which utilize principles of design, engineering analysis and functional operation of engineering systems. Design teams develop concepts, evaluate alternatives, model and analyze solutions, and build and test a final product. Emphases on communication skills, technical writing, and interaction with industry representatives. 4 undergraduate hours. 4 graduate hours. Prerequisite: One of ABE 361, CHBE 421, TAM 335; or credit or concurrent registration in ME 370.",Biology,ABE469
11,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",Biology,ABE497
12,Special Topics,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,Biology,ABE498
13,Autonomous Systems and Robots,"The objective of this course is to cover theory and techniques essential for building cyber-physical systems capable of autonomous decision making in the real-world. This course will lay a foundation for theory and techniques in autonomous planning, machine learning, and adaptive sequential decision making. Topics covered include Planning under uncertainty, Bayesian Nonparametric machine learning, Deep learning and Neural Networks, Markov Decision Processes, and Reinforcement Learning. A key emphasis of the course is placed on transition of fundamental aspects of autonomous decision making to application on robotics systems. 4 graduate hours. No professional credit. Prerequisite: MATH 225; MATH 416, or equivalent; STAT 400, Math 461 or equivalent. An introductory course in machine learning (e.g. CS 446), control (e.g. SE 422), robotics (e.g. ABE 424, ECE 470), OR Artificial Intelligence (CS 440) is required. An introductory software programming course is recommended. Restricted to graduate students in Engineering.",Biology,ABE526
14,Graduate Seminar,Presentations of thesis research by graduate students; other presentations on teaching or current research issues related to agricultural and biological engineering. Approved for S/U grading only. May be repeated up to a maximum of 6 times.,Biology,ABE594
15,Independent Study,Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,Biology,ABE597
16,Special Topics,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary to a maximum of 8 hours.,Biology,ABE598
17,Thesis Research,Approved for S/U grading only. May be repeated.,Biology,ABE599
18,Theory of Interest,Study of compound interest and annuities; applications to problems in finance. Prerequisite: MATH 231 or equivalent.,Statistics & Actuarial Science,ASRM210
19,Introduction to Actuarial Research,Guided research on introductory actuarial topics. Approved for Letter and S/U grading. May be repeated in separate terms. Prerequisite: Instructor approval required.,Statistics & Actuarial Science,ASRM390
20,Actuarial Problem Solving,Methods and techniques of solving problems in actuarial mathematics for advanced students intending to enter the actuarial profession. Approved for S/U grading only. May be repeated in the same or separate terms to a maximum of 4 hours. Prerequisite: Consent of instructor.,Statistics & Actuarial Science,ASRM392
21,Actuarial Statistics I,Same as STAT 408. See STAT 408.,Statistics & Actuarial Science,ASRM401
22,Stochastic Processes for Finance and Insurance,"An introduction to stochastic processes and their applications to finance and insurance. Topics include conditional probability, conditional expectation, Markov chains, Poisson processes, reliability theory, Brownian motion and elementary introductions to insurance risk theory and option pricing theory. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ASRM 401 (formerly MATH 408) or MATH 461.",Statistics & Actuarial Science,ASRM409
23,Investments and Financial Markets,"Theoretical foundation in financial models and their applications to insurance and other financial risks. Topics include derivative markets, no arbitrage pricing of financial derivatives, interest rate models, dynamic hedging and other risk management techniques. 3 undergraduate hours. 4 graduate hours. Prerequisite: Credit or concurrent registration in ASRM 402 or STAT 410.",Statistics & Actuarial Science,ASRM410
24,Methods of Applied Statistics,Same as STAT 420. See STAT 420.,Statistics & Actuarial Science,ASRM450
25,Basics of Statistical Learning,Same as STAT 432. See STAT 432.,Statistics & Actuarial Science,ASRM451
26,Applied Bayesian Analysis,Same as STAT 431. See STAT 431.,Statistics & Actuarial Science,ASRM453
27,Loss Models,"Foundation in the actuarial modeling process; construction, selection and validation of empirical models and parametric models. Also covers survival, severity, frequency and aggregate loss models; statistical methods to estimate model parameters. 3 undergraduate hours. No graduate credit. Credit is not given for ASRM 461 (formerly MATH 478) and ASRM 561 (formerly MATH 568). Prerequisite: ASRM 401 (formerly MATH 408), MATH 461 or MATH 463; credit or concurrent registration in ASRM 402 (formerly MATH 409) or MATH 464.",Statistics & Actuarial Science,ASRM461
28,Life Contingencies II,"Continuation of ASRM 471. Introduction to tabular or parametric survival models with single or multiple-life states; life insurance and annuity premium calculations; reserving and profit measures; introductions to universal life insurances, participating insurances, pension plans and retirement benefits. 3 undergraduate hours. No graduate credit. Credit is not given for ASRM 472 (formerly MATH 472) and ASRM 575 (formerly MATH 565). Prerequisite: ASRM 471 (formerly MATH 471).",Statistics & Actuarial Science,ASRM472
29,Actuarial Research,Guided research on actuarial topics. 1 to 4 undergraduate hours. 1 to 4 graduate hours. Approved for Letter and S/U grading. May be repeated in separate terms. Prerequisite: ASRM 390 or consent of instructor.,Statistics & Actuarial Science,ASRM490
30,Topics in Actuarial Science,Covers special topics in actuarial science. 1 to 4 undergraduate hours. 1 to 4 graduate hours. Approved for Letter and S/U grading. May be repeated. Prerequisite: Consent of instructor.,Statistics & Actuarial Science,ASRM499
31,Statistical Learning,Same as CSE 542 and STAT 542. See STAT 542.,Statistics & Actuarial Science,ASRM551
32,Predictive Analytics,"Focuses on financial and insurance applications of statistical learning techniques to build predictive models, with integrated case studies and training on computational software packages and effective communication of statistical results. Topics include the model building process, data preparation, model selection, refinement and validation. Same as STAT 541. 4 graduate hours. No professional credit. Approved for Letter and S/U grading. Prerequisite: ASRM 401 or STAT 410.",Statistics & Actuarial Science,ASRM552
33,Loss Data Analytics &amp; Credibility,"Introduction to the actuarial modeling process: construction, selection and validation of empirical and parametric models. Survival, severity, frequency and aggregate loss models; statistical methods to estimate model parameters. 4 graduate hours. No professional credit. Credit is not given for ASRM 461 (formerly MATH 478) and ASRM 561 (formerly MATH 568). Prerequisite: ASRM 401 (formerly MATH 408), MATH 461 or MATH 463.",Statistics & Actuarial Science,ASRM561
34,Life Insurance and Pension Mathematics,"Tabular and parametric survival models with single or multiple-life states; life insurance and annuity premium calculations; reserving, and profit measures; introduction to universal life insurances, participating insurances, pension plans and retirement benefits. 4 graduate hours. No professional credit. Credit is not given for ASRM 472 (formerly MATH 472) and ASRM 575 (formerly MATH 565). Prerequisite: ASRM 471 (formerly MATH 471).",Statistics & Actuarial Science,ASRM575
35,Graduate Internship,"Full-time or part-time practice of graduate-level actuarial science, risk management or advanced analytics in an off-campus government, industrial, or research laboratory environment. Summary report required. 0 graduate hours. No professional credit. Approved for S/U grading only. May be repeated in separate terms. Prerequisite: After obtaining an internship, Actuarial Science or Risk Management graduate students must request entry from the Director of the Actuarial Science Program. Departmental approval required.",Statistics & Actuarial Science,ASRM593
36,Literature Seminar,Students present seminars and discussions on advanced topics in areas of actuarial and financial mathematics and advanced analytics. 0 to 4 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in separate terms or up to 8 hours in the same term if topics vary. Prerequisite: Consent of instructor.,Statistics & Actuarial Science,ASRM598
37,Undergraduate Open Seminar,Approved for both letter and S/U grading. May be repeated.,Biology,BIOC199
38,Individual Topics,Laboratory work and/or reading in fields selected in consultation with an appropriate faculty member. May be repeated in separate terms to a maximum of 10 hours. Prerequisite: Consent of instructor.,Biology,BIOC290
39,Gene Expression &amp; Regulation,Same as MCB 406. See MCB 406.,Biology,BIOC406
40,Physical Biochemistry,"Physical properties of biological macromolecules, with the emphasis on spectroscopic methods, including UV, visible and FTTR spectroscopies, magnetic resonance techniques as well as X-ray diffraction methods. Same as CHEM 472 and MCB 446. 3 undergraduate hours. 3 graduate hours. Prerequisite: It is strongly recommended to take CHEM 440 (section B) prior to this course. MCB 354 or MCB 450 or equivalent background in biochemistry is also recommended.",Biology,BIOC446
41,Technqs Biochem &amp; Biotech,"Introduction to modern methods of experimentation with biochemical experimentation. Lectures and labs on the theory and practices underlying various methods and instrumentation. Includes protein purification and quantitative analyses, immunoassays, enzymology, peptide sequencing, lipid analysis, carbohydrate analysis, and bioinformatics. 4 undergraduate hours. 4 graduate hours. Prerequisite: CHEM 232 or CHEM 236, or equivalent; credit in MCB 251 or equivalent, and MCB 354 or MCB 450 or equivalent, or consent of instructor.",Biology,BIOC455
42,Senior Thesis,"Limited in general to seniors in biochemistry. BIOC 492 is recommended for all those who plan to do research and graduate study, and it is a prerequisite for graduation with distinction in biochemistry. Each student who desires to do thesis research must receive written permission from a member of the biochemistry faculty. Accordingly, prospective students are encouraged to contact the biochemistry staff in the term prior to registration in this course. Students must present a thesis to receive credit in this course. 1 to 6 undergraduate hours. No graduate credit. May be repeated; enrollment is limited to three semesters. Prerequisite: MCB 354 and BIOC 455, or consent of instructor.",Biology,BIOC492
43,Individual Topics,"Designed for students in biochemistry who wish to undertake individual studies of a non-Ph.D. thesis nature under the direction of a faculty member of the department. Approved for S/U grading only. May be repeated. (Summer Session, 1 to 8 hours). Prerequisite: Consent of head of department.",Biology,BIOC590
44,Biochemistry Seminar,"Students, faculty, and invited speakers present seminars and discussions on current research topics. Required of all Biochemistry Ph.D. students. Approved for S/U grading only. May be repeated to a maximum of 12 hours. Prerequisite: Graduate standing in Biochemistry.",Biology,BIOC595
45,Thesis Research,Approved for S/U grading only. May be repeated.,Biology,BIOC599
46,Anatomy,"Tailored to follow the organ system courses in allowing medical students to learn the structure and function of the circulatory, respiratory, renal, digestive, neuro-musculoskeletal, genitourinary and reproductive systems, as well as to ways to integrate ethical issues into the study and application of anatomy. No graduate credit. 0 professional hours. Approved for S/U grading only. May be repeated in separate semesters. Prerequisite: Restricted to students enrolled in the Carle Illinois College of Medicine curriculum.",Biology,BSE601
47,Clinical Neuroscience,"Topics include neurovascular disorders, seizures, brain injury, dementia, tumors of the brain, disorders involving neuroinflammation, psychotic disorders, affective disorders, anxiety disorders, as well as disorders of the peripheral nervous system and neuromuscular junction. No graduate credit. 5 professional hours. Approved for S/U grading only. May be repeated in separate semesters, for a total of 15 credit hours with approval from the Student Progress and Promotions Committee. Prerequisite: Restricted to students enrolled in the MD program at Carle Illinois College of Medicine.",Biology,BSE634
48,Musculoskeletal and Integument,"Topics include primary inflammatory diseases such as rheumatoid arthritis, lupus, polymyalgia rheumatica and associated disorders, degenerative diseases of the joints such as osteoarthritis, primary diseases of muscle, primary diseases of bone such as osteoporosis and osteogenesis imperfecta as well as mechanical trauma to bone leading to fracture. The course will also cover disorders of the integumentary system. No graduate credit. 4 professional hours. Approved for S/U grading only. May be repeated in separate semesters for a total of 12 credit hours with approval from the Student Progress and Promotions Committee. Prerequisite: Restricted to students enrolled in the MD program at Carle Illinois College of Medicine.",Biology,BSE635
49,"Digestion, Nutrition, &amp; Metabolism","Topics include malabsorption syndrome, vitamin D deficiency, G6PD deficiency, TPN, obesity, GERD with stricture/Barretts, Crohn's disease, peptic ulcer disease with hemorrhage, chronic diarrhea, pyloric stenosis – peds hepatitis C, and colonic polyposis. No graduate credit. 1 to 5 professional hours. Approved for S/U grading only. May be repeated in separate semesters for a total of 15 credit hours with approval from the Student Progress and Promotions Committee. Available for honors grade. Prerequisite: Participation in ongoing study of the digestive system. Restricted to students enrolled in the MD program at Carle Illinois College of Medicine.",Biology,BSE636
50,Multisystem Conditions,"The Multisystem Conditions course is a required course for students in Phase 1 of the Carle Illinois College of Medicine Curriculum. In this course, students work in small groups to approach complex diseases and conditions they may see in the clinical environment. No graduate credit. 4 professional hours. Approved for S/U grading only. May be repeated in separate semesters to a maximum of 12 hours. Prerequisite: Restricted to students enrolled in Phase 1 of the Carle Illinois College of Medicine curriculum.",Biology,BSE644
51,Synthesis &amp; Summary,"This course will review critical concepts in the areas of Behavioral Science, Biochemistry, Cells and Tissues, Human Development and Genetics, Microbiology, Immunology, Pathology, and Pharmacology, Population Health. The course will be organized around the major organ systems: Blood and Lymphoreticular System, Cardiovascular, Endocrine, Gastrointestinal, Hematology and Oncology, Musculoskeletal, Neurology, Psychiatry, Renal, Reproductive, Respiratory, Skin and Subcutaneous Tissue. No graduate credit. 6 professional hours. Approved for S/U grading only. Prerequisite: This course is restricted to Carle Illinois College of Medicine Students.",Biology,BSE645
52,Synthesis &amp; Summary - Phase 2,"An optional elective for students who are at the end of Phase 2 in the Carle Illinois College of Medicine curriculum. Designed to be student-centered. During the course, you will review how the basic science disciplines fit together, identify personal content weaknesses and work to deepen your understanding, create a Step 2 study strategy, and prepare for Step 2 in a manner that values wellness as well as growth. No graduate credit. 0 to 4 professional hours. Approved for S/U grading only. May be repeated in separate semesters to a maximum of 8 hours. Prerequisite: Restricted to students enrolled in Phase 2 or 3 of the Carle Illinois College of Medicine curriculum.",Biology,BSE646
53,Research Elective,"The goal of this course is to introduce the students to the foundations of selected multi-disciplinary research in medical/engineering field. Students will learn about the purpose for research; identifying researchable issues; finding, evaluating, and using sources effectively; recognizing methods associated with different types of data and disciplines; and writing a literature review. No graduate credit. 1 to 16 professional hours. Approved for S/U grading only. May be repeated up to 16 hours in the same semester, to a maximum of 64 hours in separate semesters. Prerequisite: This course is restricted to Carle Illinois College of Medicine students.",Biology,BSE655
54,Self-Designed Study,"Students will develop skills and gain experience working collaboratively with other professional through a self-designed study. Develop a self-guided study when students have an interest in an intellectual issue that is best studied through an integrative approach based in multiple academic disciplines. This course will introduce the student to a selected multi-disciplinary study or project in the medical/engineering field, addresses appropriate methodology, provides opportunities for advanced level research or other creative projects, and culminates in an integrative experience. It must be arranged between the student and an individual faculty member or external collaborator, and subsequently approved by the dean of Academic Affairs. No graduate credit. 1 to 16 professional hours. Approved for S/U grading only. May be repeated up to 16 hours in the same semester to a maximum of 32 hours over separate semesters. Prerequisite: This course is restricted to Carle Illinois College of Medicine students.",Biology,BSE660
55,Special Topics,Subject offerings of new and developing areas of knowledge in medicine intended to augment the existing curriculum. No graduate credit. 1 to 4 professional hours. Approved for S/U grading only. May be repeated to a maximum of 16 hours in the same or subsequent semesters. Prerequisite: This course is restricted to Carle Illinois College of Medicine students.,Biology,BSE665
56,Academic Progress I (Longitudinal),"Provides students with an opportunity to demonstrate core medical skills. The course includes assessment of students' understanding of clinical skills, professionalism, anatomy, and medical knowledge. Areas covered in the course include: cardiovascular, respiratory, renal, neurology, musculoskeletal, digestive, nutrition, metabolism, endocrine, genitourinary, oncology, hematology, infection, and immunity. No graduate credit. 0 professional hours. Approved for S/U grading only. May be repeated in separate semesters. Prerequisite: Restricted to Carle Illinois College of Medicine students.",Biology,BSE666
57,"Innovation, Design, Engineering and Analysis Projects (Longitudinal)","Innovation, Design, Engineering and Analysis Projects (IDEA) is a required course for students in Phase 2 of the Carle Illinois College of Medicine curriculum. In this course, students work independently and in small groups to solve challenges they are presented with in the clinical environment. No graduate credit. 0 to 6 professional hours. Approved for S/U grading only. May be repeated in separate semesters to a maximum of 15 hours. Available for honor grades. Prerequisite: Restricted to students enrolled in Phase 2 of the Carle Illinois College of Medicine curriculum.",Biology,BSE680
58,Medicine - Capstone Project (Longitudinal),"Selecting one of the clinical challenges investigated during the Innovation, Design, Engineering and Analysis Projects (Longitudinal), students will work to potentially translate new approaches, technologies, and treatments in healthcare. No graduate credit. 2 to 4 professional hours. Approved for S/U grading only. May be repeated in separate semesters to a maximum of 12 professional hours. Prerequisite: Restricted to students enrolled in Phase 3 of the Carle Illinois College of Medicine curriculum.",Biology,BSE685
59,Medicine - Data Science Project (Longitudinal),"Develop skills in data science for health care through the Data Science Project. Identify an exciting data-driven question, find data sources to address the question, and access and utilize those data to improve clinical care. Students will interact with databases, utilize tools for analyzing clinical or molecular data, and learn about the immense potential of medical data science while familiarizing themselves with the issues of human subject's protection and privacy regulations around data. No graduate credit. 2 to 4 professional hours. Approved for S/U grading only. May be repeated in separate semesters to a maximum of 12 hours. Prerequisite: Restricted to students enrolled in Phase 3 of the Carle Illinois College of Medicine curriculum.",Biology,BSE686
60,Innovations in Problem Based Learning,"This elective will provide students multiple opportunities to identify compassionate innovation through problem-based learning facilitation. The students will learn how to facilitate a PBL session and how to identify moments in cases where compassionate innovation can be furthered. This will be done through creating additional probes or tasks in the cases to be used by future facilitators. Students will also have the opportunity to create notes and evaluations on first year students. These notes/evaluation will be reviewed by Carle Illinois facilitators. The overall goal of this is not only to improve cases for current PBL students, but to assist students participating in the elective in ideation and entrepreneurship. This will help students as they create IDEA projects in the clerkships as well as preparing them for Capstone and potentially Data Science projects. Based on student interest, certain areas of this elective may be emphasized to achieve student goals. No graduate credit. 4 professional hours. Approved for S/U grading only. Prerequisite: Students must be in Phase 2 or Phase 3 of the curriculum. Restricted to students enrolled in the MD or MD/PhD program at Carle Illinois College of Medicine.",Biology,BSE700
61,Introduction to Telemedicine,"This introduction to telemedicine will help students understand the role of telemedicine in various contexts such as in primary care, for underserved or rural patients, during times of crisis (disasters, pandemics) and more. Considerations include benefits & limitations, tools & technology, patient interactions & follow-up, insurance considerations, legal and regulatory issues, and research. Students will have an opportunity to research an area of telemedicine and present what they have learned. This could be new uses of telemedicine, new tools, policy/legal considerations, expanding the reach of telemedicine, or any other issue related to telemedicine. Outputs could include a literature review, program plan, roadmap, white paper or other presentation medium. No graduate credit. 2 professional hours. Approved for S/U grading only. Prerequisite: Restricted to students enrolled in the Carle Illinois College of Medicine.",Biology,BSE701
62,Medical Spanish,"Carle Illinois College of Medicine strives to support physicians who want to serve diverse populations. To that end, students may enroll in a 2-week medical Spanish course. This hybrid online course allows students to increase their proficiency in Spanish, while also practicing with a standardized patient. No graduate credit. 2 professional hours. Approved for S/U grading only. Prerequisite: Restricted to students enrolled in the Carle Illinois College of Medicine.",Biology,BSE702
63,Medical Informatics,"A detailed overview of biomedical and health informatics for medical students. The course provides up-to-date details on the informatics field, which includes: electronic health records, data standards and interoperability, clinical decision support, healthcare data analytics, population health, patient engagement, and telemedicine. It also describes and sets the context for new technologies, such as SMART on FHIR, machine learning, artificial intelligence, and wearables. No graduate credit. 2 professional hours. Approved for S/U grading only. Available for honors grades. Prerequisite: Restricted to students enrolled in the Carle Illinois College of Medicine.",Biology,BSE703
64,Medicine in Literature,"The medical encounter between patients and physicians has been represented in literary texts such as poems, short stories and novels for centuries. In this elective, students will be given the opportunity to reflect on the medical experience through an analysis of literary texts from various time periods and cultural contexts. Particular attention will be paid to the difference in perspective by patients, physicians and other actors in the healthcare setting. Our reading of literature will be complemented by texts from the field of narrative medicine, which uses the tools of literary analysis and close reading to understand patients’ histories and fine-tunes awareness of the cultural and social determinants of health. No graduate credit. 2 professional hours. Approved for S/U grading only. Prerequisite: Restricted to students enrolled in the Carle Illinois College of Medicine.",Biology,BSE704
65,Race in Medicine,"This elective provides an opportunity to explore the topics of unconscious bias, history of race in medicine and effects on systemic racism in medicine. The goal is to give time to grow in personal insight and development in this area to progress to become a compassionate and unbiased health care provider. Progress towards this goal will be made through the personal journey of completing a 21 day equity challenge and reflection paper, participation in online discussion boards, and group projects looking at the history and current state of racism and social determinants of health in medicine. No graduate credit. 4 professional hours. Approved for S/U grading only. Prerequisite: Restricted to students enrolled in the Carle Illinois college of Medicine curriculum. The course is only available during the Discovery Learning timeframe.",Biology,BSE705
66,Literature Review in Pathology,Pathology is a multidisciplinary science that connects theory (basic sciences) with practice (clinical sciences). This elective provides students with opportunities to explore the role of pathology in medical education. This course might be of particular interest to those who are generally interested in medical education and/or pathology as a future specialty. No graduate credit. 4 professional hours. Approved for S/U grading only. May be repeated in separate semesters to a maximum of 8 hours. Prerequisite: Restricted to students enrolled at the Carle Illinois College of Medicine.,Biology,BSE706
67,Interreligious Perspectives on Health and Medicine,"Explores and develops an appreciation for the many ways in which religion and religious identities are present in, and absent from, medical spaces in the United States. This course is intended to support physicians-in-training develop the background, vocabulary, and experiences necessary to practice medicine thoughtfully and sensitively in a religiously diverse society. No graduate credit. 4 professional hours. Approved for S/U grading only.",Biology,BSE707
68,Computational Genomics,"The first week of this elective is an intensive course for scientists and clinicians covers the basics of computational genomics, while integrating the latest technologies and computational methodologies. University of Illinois faculty and Mayo Clinic scientists teach lectures and lead hands-on lab exercises in a variety of subject areas including genome sequencing and assembly, polymorphism and variant analysis, epigenomics, and systems biology. The second week is an in-depth independent study that focuses on a project using the skills from the first week. No graduate credit. 2 professional hours. Approved for S/U grading only. Prerequisite: This course is restricted to students enrolled in the Carle Illinois College of Medicine.",Biology,BSE710
69,Climate Aware Physicians,"Medical students should learn how to practice medicine in the context of the current health impacts of climate change. Throughout the U.S. and globally, climate change contributes to increasing morbidity and mortality, including heat illness, respiratory and cardiovascular disease from air pollution, vector and water borne diseases, food and water insecurity, mental stress, and injuries. We highlight health threats, policies, and actions for physicians, engineering/medical researchers, and medical students. No graduate credit. 2 professional hours. Approved for S/U grading only. Available for honor grades. Prerequisite: Restricted to students enrolled in the MD program at Carle Illinois College of Medicine.",Biology,BSE711
70,Advanced Anatomy,"Provides a focused concentration on gross anatomy via literature review and intensive cadaver dissection related to the student’s specific clinical interest. Topics will emphasize clinical conditions that have clear anatomic correlates. Key topics will include the 3D relationships of gross anatomical structures, foundational anatomical knowledge required to interpret results of different imaging modalities, and the application of anatomical knowledge in carrying out surgical, diagnostic, or therapeutic clinical procedures. No graduate credit. 4 professional hours. Approved for S/U grading only. Available for honors grades. Prerequisite: Restricted to students enrolled in the MD program at Carle Illinois College of Medicine.",Biology,BSE720
71,Neurocardiology,"Introduces students to the fields of scientific and clinical Neurocardiology. Involves a thorough overview of the interplays between the nervous and cardiovascular systems at the basic science and clinical levels. Course instruction will include lectures, invited research talks, and an extensive review and discussion of the medical/scientific literature in the field. Additionally, students will develop a research idea related to neurocardiology and receive formal training and guidance on how to write an NIH grant. The project will culminate with a completed modified F30 research proposal by the end of the elective. No graduate credit. 4 professional hours. Approved for S/U grading only. Prerequisite: Restricted to students enrolled in Phase 2 or Phase 3 of the Carle Illinois College of Medicine.",Biology,BSE721
72,Introduction to Deep Learning on Healthcare Data,"Covers deep learning methods, healthcare data and applications using deep learning methods. Includes activities such as online lectures or video lectures, programming labs, literature review, and individual or group presentations. The overall goal is to understand basic data science workflow for healthcare data such as electronic health records, clinical notes, and medical images, to learn basic deep learning models, and to learn the structure of data science projects. No graduate credit. 2 professional hours. Approved for S/U grading only. Prerequisite: Experience with Python programming, basic machine learning, and Jupyter notebooks. Restricted to students enrolled in the Carle Illinois College of Medicine curriculum.",Biology,BSE730
73,Individual Topics,"Individual topics in research and/or reading for graduate students, to be conducted under the supervision of faculty members in cell and structural biology; designed to allow students to become more familiar with specialized fields of study prior to committing themselves to a specific area for their graduate degree. Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.",Biology,CDB590
74,Graduate Sem Cell Devel Biol,"Invited speakers, faculty, and student presentations and discussions on current research topics. Approved for both letter and S/U grading. May be repeated to a maximum of 8 hours. Prerequisite: MCB 400; or consent of instructor.",Biology,CDB595
75,Thesis Research,Research on the thesis and preparation of the thesis. pproved for S/U grading only. May be repeated to a maximum of 16 hours. Summer: 0 to 8 hours. (Summer session may be repeated to a maximum of 8 hours.),Biology,CDB599
76,CHBE Profession,Lectures and problems on the history and scope of chemical engineering endeavors; decisions and criteria for process development and plant design. Approved for S/U grading only. Prerequisite: CHEM 102 or CHEM 202.,Biology,CHBE121
77,Undergraduate Open Seminar,Approved for letter and S/U grading. May be repeated.,Biology,CHBE199
78,Cooperative Education Practice,Same as CHEM 293. See CHEM 293.,Biology,CHBE202
79,CHBE Internship,"Full-time practice of chemical science in an off-campus industrial setting or research laboratory environment. Summary report required. Approved for S/U grading. May be repeated. Prerequisite: Completion of freshman year or equivalent, or consent of Director of Cooperative Education in Chemical and Biomolecular Engineering.",Biology,CHBE210
80,Principles of CHE,Lectures and problems on material and energy balances.  Prerequisite: CHEM 104 or CHEM 204; credit or concurrent registration in CS 101.,Biology,CHBE221
81,Individual Study Sophomores,Individual study of problems related to Chemical and Biomolecular Engineering. May be repeated to a maximum of 6 hours. Prerequisite: Sophomore standing and consent of instructor.,Biology,CHBE297
82,Thermodynamics,Fundamental concepts and the laws of thermodynamics; the first and second law applications to phase equilibrium and chemical equilibrium and other applications in the Chemical and Biomolecular Engineering profession. Prerequisite: CHBE 221 and MATH 241.,Biology,CHBE321
83,Individual Study for Juniors,Individual study of problems related to Chemical and Biomolecular Engineering. May be repeated to a maximum of 6 hours. Prerequisite: Junior standing and consent of instructor.,Biology,CHBE397
84,Momentum and Heat Transfer,"Introduction to fluid statics and dynamics; dimensional analysis; design of flow systems; introduction to heat transfer; conduction, convection, and radiation. 4 undergraduate hours. 4 graduate hours. Credit is not given for both CHBE 421 AND ABE 341. Prerequisite: CHBE 221 and MATH 241.",Biology,CHBE421
85,Mass Transfer Operations,Introduction to mass transfer processes and design methods for separation equipment. 4 undergraduate hours. 4 graduate hours. Prerequisite: CHBE 321 and CHBE 421.,Biology,CHBE422
