,Course Description,Subject Domain
20,"The course introduces basic concepts and methodology of data science. The goal of this course is to provide students with an overview and practical experience of the entire data analysis process. Topics include: data source and data acquisition, data preparation and manipulation, exploratory data analysis, statistical and predictive analysis, data visualization and communication. ",Computer Science
21,Introduction to computer design process; performance and cost analysis; instruction set design; data-path and controller design; pipelining; memory system; I/O design; GPU architecture and programming; introduction to advanced topics.,Computer Science
22,"Lexical analysis; symbol table management; parsing techniques; error detection; error recovery; error diagnostics; run-time memory management; optimization; code generation.",Computer Science
23,"The course teaches the basics of functional programming using the language Haskell. The main goal is introduce students to fundamental programming concepts such as recursion, abstraction, lambda expressions and higher-order functions and data types. The course will also study the mathematical reasoning involved in the design of functional programs and techniques for proving properties about functions so defined. With the adoption of lambda expressions recent versions of Java, C++ or C#, functional programming and related programming techniques are becoming increasingly more relevant even for programmers of languages that are not traditionally viewed as functional. This course is important to introduce students to such techniques.",Computer Science
24,"Syntax and semantics specification; data types; data control and memory management; expressions, precedence and associativity of operators; control structures; comparative study of existing programming languages; advanced topics such as polymorphism, programming paradigms, exception handling and concurrency.",Computer Science
25,This is an introduction course on the subject of artificial intelligence. Topics include: intelligent agents; search techniques for problem solving; knowledge representation; logical inference; reasoning under uncertainty; statistical models and machine learning. ,Computer Science
26,"Overview of graphics hardware, basic drawing algorithms, 2-D transformations, windowing and clipping, interactive input devices, curves and surfaces, 3-D transformations and viewing, hidden-surface and hidden-line removal, shading and colour models, modelling, illumination models, image synthesis, computer animation.",Computer Science
27,"This course introduces algorithms, tools, practices, and applications of machine learning. Topics include core methods such as supervised learning (classification and regression), unsupervised learning (clustering, principal component analysis), Bayesian estimation, neural networks; common practices in data pre-processing, hyper-parameter tuning, and model evaluation; tools/libraries/APIs such as scikit-learn, Theano/Keras, and multi/many-core CPU/GPU programming. ",Computer Science
28,"This course offers an introduction to the interdisciplinary field of quantum information and computation. We will start from the basic rules of quantum theory and become familiar with the counterintuitive notions of quantum superposition and entanglement. In particular, we will see how quantum systems could be used to detect an object without directly interacting with it (Elitzur-Vaidman bomb tester), to increase the amount of bits that can be sent through a transmission line (dense coding), and to increase the chance to win certain games (CHSH game and GHZ game). Once the basics have been covered, we will provide an overview of quantum computation and of major quantum algorithms such as Grover's search algorithm and Shor's factoring algorithm for prime factorization. Finally, we will introduce the upgraded framework of quantum theory, and use it to explore applications to quantum error correction, quantum state discrimination, quantum cryptography, and quantum teleportation. ",Computer Science
29,"This course introduces the principles, mathematical models and applications of computer vision. Topics include: image processing techniques, feature extraction techniques, imaging models and camera calibration techniques, stereo vision, and motion analysis.",Computer Science
30,"Selected network protocols relevant to the World Wide Web (e.g., HTTP, DNS, IP); World Wide Web; technologies for programming the Web (e.g, HTML, XML, style sheets, PHP, JavaScript, Node.js.; other topics of current interest (AJAX, HTML5, web services, cloud computing).",Computer Science
31,"This course introduces the concepts and techniques for computer game design and development. Topics include: game history and genres, game design process, game engine, audio and visual design, 2D and 3D graphics, physics, optimization, camera, network, artificial intelligence and user interface design. Students participate in group projects to gain hands-on experience in using common game engine in the market. ",Computer Science
32,"This course aims at introducing the design and development issues of mobile apps. Students will learn the basic principles, constraints and lifecycle of mobile apps. Then they will learn how to use modern object-oriented languages for the development and different design patterns. Next they will learn various development issues such as graphics, touch events, handling of concurrency, sensors, location services and server connection. Students will also participate in both individual assignments and group project to practice ideation, reading, writing, coding and presentation throughout this course.",Computer Science
33,"An introduction to algorithms and applications of deep learning.  The course helps students get hands-on experience of building deep learning models to solve practical tasks including image recognition, image generation, reinforcement learning, and language translation. Topics include: machine learning theory; optimization in deep learning; convolutional neural networks; recurrent neural networks; generative adversarial networks; reinforcement learning; self-driving vehicle.",Computer Science
34,"The goal of the course is for students to be grounded in basic bioinformatics concepts, algorithms, tools, and databases. Students will be leaving the course with hands-on bioinformatics analysis experience and empowered to conduct independent bioinformatics analyses. We will study: 1) algorithms, especially those for sequence alignment and assembly, which comprise the foundation of the rapid development of bioinformatics and DNA sequencing; 2) the leading bioinformatics tools for comparing and analyzing genomes starting from raw sequencing data; 3) the functions and organization of a few essential bioinformatics databases and learn how they support various types of bioinformatics analysis. ",Computer Science
35,"This course introduces the principles, mechanisms and implementation of cyber security and data protection. Knowledge about the attack and defense are included. Topics include notion and terms of cyber security; network and Internet security, introduction to encryption: classic and modern encryption technologies; authentication methods; access control methods; cyber attacks and defenses (e.g. malware, DDoS).",Computer Science
36,"This course provides an introduction to mathematics and algorithms underneath state-of-the-art robotic systems. The majority of these techniques are heavily based on probabilistic reasoning and optimization – two areas with wide applicability in modern AI. We will also cover some basic knowledge about robotics, namely geometry, kinematics, dynamics, control of a robot, as well as the mathematical tools required to describe the spatial motion of a robot will be presented. In addition, we will cover perception, planning, and learning for a robotic system, with the obstacle avoidance and robotic arm manipulation as typical examples. Note: The focus of the course is on mathematics and algorithms; we will not study mechanical or electrical design of robots.",Computer Science
37,"This course offers a gentle introduction to the field of cryptography. We will start from the basic principles of confidentiality, integrity and authentication.  After that, we will go through some fundamental cryptographic primitives like hash function, symmetric key encryption, public key encryption and digital signatures.  Finally, we will introduce the basics of quantum cryptography including quantum key distribution and random number generation. ",Computer Science
38,"This course introduces the basic concepts and modern software architectures on distributed and parallel computing. Topics include: computer network primitives, distributed transactions and two-phase commits, webservices, parallelism and scalability models, distributed consistency models, distributed fault-tolerance, actor and monads, Facebook photo cache, Amazon key-value stores, Google Map-reduce, Spark, and TensorFlow.",Computer Science
39,"Basics of character animation, keyframe animation, motion capture, inverse kinematics, physically based character animation, Basics of physically-based animation, rigid body dynamics, point-based dynamics, hair animation, cloth simulation, facial animation, crowd simulation, mesh-shape editing, performance capture, skinning, data-driven character control, data-driven cloth animation, data-driven facial animation, data-driven skinning.",Computer Science
40,"Natural language processing (NLP) is the study of human language from a computational perspective. The course will be focusing on machine learning and corpus-based methods and algorithms. We will cover syntactic, semantic and discourse processing models. We will describe the use of these methods and models in applications including syntactic parsing, information extraction, statistical machine translation, dialogue systems, and summarization. This course starts with language models (LMs), which are both front and center in natural language processing (NLP), and then introduces key machine learning (ML) ideas that students should grasp (e.g. feature-based models, log-linear models and then the neural models). We will land on modern generic meaning representation methods (e.g. BERT/GPT-3) and the idea of pretraining / finetuning.",Computer Science
41,"This course allows students to experience a complete AI experimentation and evaluation cycle with a hands-on project.  The course comprises two main components: students first acquire the basic know-how of the state-of-the-art AI technologies, platforms and tools (e.g., TensorFlow, PyTorch, scikit-learn) via example-based modules in a self-paced learning mode.  Students will then identify a creative or practical data-driven application and implement an AI-powered solution for the application as the course project.",Computer Science
42,"Quantum computing can perform hard computational tasks that are far beyond the reach of conventional computers. This course will focus on quantum computing and its realization, offering a tour through the most important concepts and the most recent progresses. The course consists of four major parts: basics of quantum computing, quantum algorithms, quantum machine learning, and quantum error correction. The course starts with an introduction to the essential ingredients of quantum circuits. We will get familiar with quantum computing by going through representative quantum algorithms and visiting more advanced topics in quantum machine learning. We will then discuss how to build a quantum computer: various ways of implementing quantum computations and coping with noises will be discussed. Finally, we will conclude the course with an overview of recent progresses and with a perspective on the future of quantum computing. Tutorials will also be offered on quantum programming, where we will design our own quantum algorithms that address practical problems.",Computer Science
43,"This course introduces basic concepts, technologies, and applications of the Internet of Things (IoT), with a focus on data analytics. The course covers a range of enabling techniques in sensing, computing, analytics, learning for IoT and connects them to exciting applications in smart homes, healthcare, security, etc. The lectures cover the pipeline of data generation, data acquisition, data transportation, data analysis and learning, and data applications, with various topics from the fundamentals (e.g., signal processing, statistical analysis, machine learning) to real-world systems. Billions of things are connected today, and this course helps students to understand how IoT will evolve into AIoT (Artificial Intelligence of Things).",Computer Science
44,"To study some important topics and techniques in big data and data mining. The teaching and learning will focus on the algorithmic and system aspects of these topics. Survey on recent development and progress in selected areas will also be included.The course will study some advanced topics and techniques in big data, with a focus on the algorithmic and system aspects. It will also survey the recent development and progress in selected areas. Topics include: spatial-spatiotemporal data management, textual big data, uncertain data management, indexing, query evaluation and optimization, and data mining.",Computer Science
45,"The course covers banking systems, e-payment security, foreign exchange, Internet banking, wireless payments, stored-value cards, micropayments, peer-to-peer payments, electronic and crypto-currencies such as Bitcoin, large-scale B2B payments and the future of money.",Computer Science
46,"A Biochemical Perspective on the Basic SciencesA. Chemistry for BiochemistryThe elements and bonding (from carbon to Coenzyme A); Resonance and orbital theory (a focus on the electron); Structure and conformation (thinking in 3 dimensions); Isomerism (from mirrors to thalidomide); Water (the universal biochemical solvent) & buffer; Quantitation in chemistry (who was Avogadro anyway?).B. Biology for BiochemistryThe basic building blocks of life (proteins, DNA, lipids, carbohydrate); The Central Dogma of Molecular Biology; Evolution (considering molecular evolution); Origins of life (the chicken-egg paradox of proteins and DNA)C. Physics and Mathematics for BiochemistryThermodynamics from a Biological Perspective; Introduction to molecular recognition and binding (DNA melting); Statistics for biochemistry (applied statistics for what you really need to know); Thinking numbers (exponentials, logs and the limits of life).D. Inspiring BiochemistryThe protein; The gene; Vitamins and disease;  Synthetic biology; The challenges of modern-day genetics Drugs-successes and failures. - Teach students a biochemical perspective on each of the Basic Sciences focusing on concepts fundamental to the learning of Biochemistry. - Promote deep learning of course material through an integrated programme of practical and collaborative tasks.- Inspire students with a view of the great discoveries and future challenges for Biochemistry.- Help students make the transition from school to university by developing their teamwork, independent study skills and confidence to communicate within a Biochemistry learning environment.",Biomedical Sciences
47,"Structure and functions of carbohydrates, lipids, nucleic acids, amino acids and proteins; enzymes and co-enzymes; basic bioenergetics; key metabolic processes in a living cell; signaling across cell membranes; flow of genetic information This course is designed to present an overview of biochemistry of fundamental importance to the life process. We aim to develop appreciation of the basics in biochemistry as a common ground for science and non-science students to progress into their areas of specialization. Students intending to pursue further studies in Biochemistry and Molecular Biology will find this course particularly helpful.",Biomedical Sciences
48,"This course focuses on the central metabolic pathways involved in the provision of energy needed by living organisms. Major metabolic pathways covered in this course include those that are involved in the synthesis and breakdown of glucose, glycogen, triacylglycerol, and amino acids.  The metabolism of purines and pyrimidines will also be considered. Emphasis is on the understanding of the metabolic reactions involved and how they are regulated in relation to environmental cues. Metabolic derangements as a basis of diseases will also be discussed. This course aims to provide foundation concepts of metabolism. It will enable students of this course to see how some of the basic concepts in biochemistry (specifically those learned in BIOC1600 and BIOC2600) could be applied to explain one of the most important and cardinal issues of biological life: the acquisition of metabolic energy. The course will lay the foundation for the more advanced courses offered in the Biochemistry Major and will also serve as a useful complement to courses on nutrition and dietetics.",Biomedical Sciences
49,"Basic concepts in experimental science; writing of lab notebooks; experimental approaches - genetic, biochemical, molecular, genomic and others; methods for isolation and analysis of carbohydrates, proteins, lipids and nucleic acids; subcellular fractionation; enzyme assays and spectrophotometry; basic nucleic acid manipulation - PCR, site-directed mutagenesis, blotting and hybridization, cloning strategies, restriction mapping. To give students a general overview of different experimental approaches and model systems, and to provide students with hands-on experience in basic biochemical and molecular techniques.",Biomedical Sciences
50,"This course will introduce and discuss the following topics:DNA and protein sequence database, protein family databases; information searching and retrieval; Simple sequence analysis; sequence alignment: pair-wise alignment, multiple sequence alignment, substitution matrices; sequence database searching: algorithm and parameters; sequence patterns and motifs, and profiles; phylogenetic analysis; gene prediction; analysis of next generation sequencing data This course will examine existing bioinformatics tools for DNA and protein sequence analysis. Theunderlying principles of these analysis programs and services will be presented. Students will learn how to retrieve, analyze, and compare protein and DNA sequences using bioinformatics tools available on the internet. A basic introduction to the principles and tools for the analysis of next generation sequencing data will also be presented.",Biomedical Sciences
51,"This course covers cell signaling in relation to human diseases, molecular basis of cancer and viral diseases, and molecular therapeutics. Specific topics may include cell signaling, mouse model of human diseases, oncogenes and tumour suppressor genes, genome instability, HIV science, genetics and pathogenesis of influenza viruses, molecular approaches to vaccine development, immune checkpoint therapy, stem cells and stem cell therapy, gene therapy, and nucleic acid therapeutics. Basic knowledge of biochemistry and molecular cell biology is assumed for students taking this course. To provide up-to-date knowledge of the molecular and cellular basis of selected human diseases including cancer and infection with HIV and influenza viruses, thereby preparing the students for a career in biomedical, biotechnological, pharmaceutical and genomic research.",Biomedical Sciences
52,The student undertakes a self-managed study on a topic in biochemistry under the supervision of a staff member.  The topic is preferably one not sufficiently covered in the regular curriculum.  The directed study can be a critical review or a synthesis of published work on the subject.  A laboratory or field study may also be involved that would enhance the student's understanding of the subject. To enhance students knowledge of a particular topic and the students self-directed learning and critical thinking skills.,Biomedical Sciences
53,"A. Inter and intracellular signal transduction mechanismsCell-surface receptors and signal transduction proteins; G-Protein-coupled receptors: structure and mechanism; signaling pathways that control gene expression: receptors that activate protein tyrosine kinases, the Ras/MAP kinase pathway, phosphoinositide signaling pathways and receptor serine kinases that activate SmadsB. Cytoskeleton as target of signal transductionThe microtubule cytoskeleton; kinesin and dynein motor; the actin cytoskeleton; myosin; the intermediate filament; cytoskeletion and cell behavior; cytoskeleton and intracellular transport in neuron C. Protein trafficking and sorting pathwaysTranslocation of secretory proteins - insertion into the ER; major protein sorting pathways; protein modification, folding and quality control in the ER; molecular mechanism of vesicular traffic; protein sorting and processingD. Cell-cell and cell-matrix adhesionCell-cell and cell-extracellular matrix (ECM) junctions and their adhesion molecules; cadherins and integrins; collagens and proteoglycans; when cell meets the matrix; regulation of signaling molecules by ECM This course aims at providing students an in-depth understanding of molecular and cellular signaling in multicellular organisms. This course is particularly useful for students interested in research or intending to develop a career in biomedical sciences.",Biomedical Sciences
54,"This is a comprehensive course covering many detailed molecular aspects of gene regulation and gene function.  Through this course an understanding of how gene expression can be regulated at levels of transcription and post transcription will be gained. To provide an up-to-date knowledge of molecular biology, especially with respect to the regulation of eukaryotic gene expression.",Biomedical Sciences
55,"Hands-on experiments using advanced techniques in biochemistry, molecular and cell biology, and bioinformatics.  Students will also have the opportunity to familiarize themselves with modern instruments used in life sciences. This is an advanced experimental-based course for students majoring in Biochemistry and related disciplines.  The aim is to provide the necessary training for students to pursuit postgraduate research education and potential employment in a scientific laboratory/industry environment.",Biomedical Sciences
56,"1. Within the university: The student will be supervised by a staff member (Supervisor), working on a project or various tasks as instructed by the Supervisor.2. Outside the university: The student will work in an external agency related to the major of study. The student will be supervised under a staff member of the external agency (the External Supervisor) and a staff member of the Department/School of the student (the Internal Supervisor). This course aims to offer students the opportunities to gain work experience in the industry related to their major of study.  The workplace learning experience would be of great benefit to the students to apply their knowledge gained in the study to the real work environments.  Students have to take on at least 160 hours of internship work either within the University or outside the University arranged by the School/Departments.",Biomedical Sciences
57,"Project-related topics in biochemistry, cell, molecular and developmental biology.Experimental methods in protein and nucleic acid biochemistry; bioinformatics and cell biology.Critical appraisal of current science literatureFormulation of research questionsDesign of experiments.Data analysis and interpretation.Scientific writing To enable students to acquire the basic skills in scientific research emphasizing on critical and analytical reasoning, free and creative thinking, scholarly communication (both orally and in writing), research integrity, teamwork and time management.  The course is particularly useful for those students who intend to pursue a career in life science either in research or industry.",Biomedical Sciences
58,"Elements of macromolecular structure: sequencing, prediction and determination of secondary, tertiary and quaternary structures;The relationship of protein structure and function: molecular motifs,binding and recognition, enzyme catalysis and specificity;Methods for protein structure determination: X-ray crystallography, nuclear magnetic resonance and cryo electron microscopy;How protein works: protein flexibility and dynamics, protein interaction, protein complex, and control of protein function;Protein purification and characterization: various liquid chromatographical methods and their uses in combination, separation techniques, methods of determination of molecular mass, activity and purity, optical methods in protein determination, ultracentrifugation, protein polishing, stability and storage, methods and devices for protein delivery. To provide students with a good understanding of protein structure, how structure subserves function, and the methods for study of both. This course provides a strong foundation for advanced courses in biochemistry and biotechnology.",Biomedical Sciences
59,"An issue-based approach will be adopted to enable students to integrate basic concepts in molecules and cells and to inspire further investigation through the exploration of contemporary biological issues. The course is divided into 4 parts and the following is a list of some of the questions to be asked and discussed:Genes and inheritance: How do children resemble their parents? What is the central dogma of biology? What are the rules of genetic inheritance? What determines gender and sexuality? Why is that children resemble, but not identical to, their parents? What happen if some genes are non-functional or mutated? Metabolism and Health: How are diets related to good health? Do all humans have the same dietary requirements? Why can't we live without plants?Cells and cell division: What are the common features in a cell? How do cells communicate and assemble themselves to form tissues and organs? What is a cell cycle and how it is regulated? What happens if cell-cycle control system goes wrong? How newly formed cells commit themselves for differentiation? Genetic engineering and modern biology: To what extent can genes be modified? Is gene therapy the future of medicines? Is genetically modified food safe for consumption? What are the Genome Projects and why have they been important? This course aims to provide basic conceptual understanding of the biology of molecules and cells to underpin later studies in applied biology, genetics, biochemistry, nutrition, biotechnology, microbiology, plant and animal physiology and developmental biology.",Biological Sciences
60,"Topics will include food composition and functional properties of major nutrients; food additives; food hygiene, safety and regulation; food security; healthy eating-concepts and practice; essential nutrients; diet and disease relationship. To enable student to appreciate the multidisciplinary nature in the study of Food and Nutrition. From the farmer's field to the dinner table, a basic understanding of the general properties of food in production, processing, storage and safety, as well as food security will be covered. Basic macro- and micronutrients from these food and its absorption, distribution, metabolism, and excretion will allow students to understand the function of these nutrients in the human body.This is an independent course which can be taken by students from various disciplines. It also prepares students for further studies in Food and Nutritional Science.",Biological Sciences
61,"Introduction to the methodology for reconstructing the sequence of past evolutionary events (cladistics); algae (Rhodophyta, Phaeophyta and Chlorophyta); non-vascular plants (Hepatophyta, Anthocerophyta and Bryophyta); seedless vascular plants (Lycophyta, Psilophyta, Sphenophyta and Pterophyta); seed plants (Cycadophyta, Ginkgophyta, Coniferophyta, Gnetophyta and Anthophyta); invertebrates (Cnidaria, Platyhelminthes, Annelida, Mollusca, Nematoda, Arthropoda and Echinodermata); fish (Chondrichthyes and Actinopterygii); amphibians (Batrachomorpha); reptiles (Anapsida, Lepidosauromorpha and Archosauromorpha); and mammals (Monotremata, Metatheria and Eutheria). To provide students with an introduction to the diversity of plant and animal life.  Recent research has resulted in fundamental changes in our understanding of evolutionary history (phylogeny).  Current evolutionary trees will be used as the basis for a survey of different groups in phylogenetic sequence, and for understanding how structures, processes and behaviours have changed through time.",Biological Sciences
62,"The course will cover the components of food, including water, proteins, carbohydrates and lipids, and minor components such as enzymes, vitamins, minerals, colorants, flavorants and additives. The physical and chemical properties of these important constituents of foods are covered in detail, and form the basis for understanding the reactions which occur during the production, processing, storage and handling of foods, and in understanding the methods used in analyzing foods To provide a basic understanding of chemistry in food systems, and to provide practical training in chemistry related to food science and nutrition.",Biological Sciences
63,"Introduction to Statistics and Probability; Descriptive Statistics and Estimation; Statistical Inference; Statistical Explanation and Diagnosis; Likelihood and Model Selection, Categorical predictors (ANCOVA and ANOVA); Factorial design, Multiple Comparisons and Block Design; Correlation and Regression Analyses; Multiple Regression Analysis; Introduction to Multivariate Analyses. Students will learn how to use R to conduct the statistical analyses, and correctly interpret the results. This course aims to is to introduce students to the core ideas and concepts of statistical analysis with special attention to the modeling approaches used in biological sciences. The course will give students the skills and knowledge to understand how to apply these concepts using the R statistical programming language for data analysis. Although the course covers some basic concepts (experimental design, distributions, hypothesis testing), the main emphasis of the course is on model building and selection, linear models (regression and analysis of variance), basic random effects and mixed effects models, and multivariate statistics (PCA, MANOVA).",Biological Sciences
64,"This course will be divided into three modules and each module will have 3 laboratory sessions.Module one: Nucleic acid analysisDNA & RNA isolation, spectrometry, gel electrophoresis, restriction enzyme analysis and DNA sequence analysis.Module two: Protein analysisCentrifugation, chromatography and SDS-PAGE electrophoresis.Module three: MicrobiologyMicroscopy, observation of microorganisms and staining of bacteria, isolation of pure cultures by streaking and serial dilution, enumeration of microbial cells by Petroff-Hausser counting chamber, and turbidity. Identification and classification of microbes from natural source and statistical analysis. The objective is to provide students a comprehensive training in basic laboratory techniques used in modern biological studies. The course will cover a number of techniques used by molecular biologists and microbiologists to conduct scientific research.",Biological Sciences
65,"An introduction to various biomolecules in terms of their structures, functions, syntheses and metabolisms, with emphasis on amino acids, proteins, enzymes, carbohydrates, lipids and nucleic acids.  The correlations between their biochemical properties and their roles in various life processes will be illustrated. This course is designed to provide undergraduate (non-biochemistry major) an overview of fundamental concepts in biochemistry as well as hands-on experience in biochemical techniques.",Biological Sciences
66,"The environment influences organisms profoundly. It affects their present-day ecology (determining where they live and how many can survive there) and, through natural selection acting over past generations, influences their form and adaptations. Present day human-induced changes to the environment are also responsible for endangering species and degrading their habitats. This introductory course introduces some basic scientific principles of ecology and evolution, showing how they are linked to the environment by physiological tolerances and evolutionary adaptation which, in turn, lead to specialization and generate biodiversity. Individuals and their interactions will be a major focus of the course together with discussion of population dynamics, community structuring, life histories, and niche dynamics. The principles of ecology and evolution resulting from interaction with the environment will also be demonstrated by describing the origins of modern humans, including our fossil record and relationship to other primates, and the main ecological transformations caused by humans and their environmental impacts. The course will conclude with an account of the importance of biodiversity, and the factors that threaten it globally. Lectures are complemented by a 5-day field course during the Reading Week when students visit a variety of Hong Kong habitats to study their biodiversity, community composition and the relationship between organisms and their environment The interaction between organisms and their environment is addressed using an issue-based approach in order to explains how the ecology of plants and animals has been shaped by evolution through interactions with their living and non-living environment. The course also demonstrates how we can understand and explain the significance of what we see in nature using scientific methods.  A field course component provides the opportunity to investigate how the environment influences community composition, biodiversity and adaptive radiation in a variety of habitats.",Biological Sciences
67,"The purpose of the course is to introduce you to the entrepreneurial process with a focus on the biotechnologyindustry. The course will provide a thoughtful, practical guide to the process of successfully launching anentrepreneurial venture. We place a special emphasis on the decision to become a biotech entrepreneur and howto develop successful business ideas, however we will also discuss the process of moving from an idea to a biotechfirm. Topics on intellectual properties, patent laws, patent application process, licensing and fundraising will becovered as well. Throughout the course, guest entrepreneurs, managers and directors of the biotech industry willbe presenting case studies and explain their involvement in various biotech and pharmaceutical companies.Topics:1. Introduction to Biotechnology Industry: 4 P in Biotechnology Business (3 hours)2. IP rights: Patent application, Patent system, USPTO, SIPO, PCT (6 hours)3. Licensing of IP rights (3 hours)4. Technology Transfer Office and HKSTP (3 hours)5. How to raise fund for startup companies (3 hours)?6. Agrobiotechnology and Green Tech (Monsanto, Novozymes, etc) (4.5 hours)7. Drug development and clinical trials (Gilead Sciences, Wuxi PharmaTech, etc). (6 hours)8. Diagnostics business (BGI, Diagcor, etc) (4.5 hours)9. Company analysis (3 hours)10. Company Visit11. Company analysis The course will give an overview of the innovative developments in biotech industry and provide the students with useful tools in learning how an exciting research idea can be turned into a viable business.",Biological Sciences
68,"Why do animal behaviours vary among individuals and species? How do environment and ecological interactions influence behaviours? What are the underlying genetic mechanism of a particular behaviour? In this course, students will learn to think within the ecological and evolutionary perspectives on animal behaviour. Topics include behavioral ecology; behavioral genetics; reproductive behaviour; mating system; parental care; communication; foraging; learning; migration and biological rhythms; evolutionary stable strategies; sexual selection; altruism; and sociality in vertebrates and invertebrates. We will discuss several classical studies that form the foundation of this field, as well as more recent research that have led to current understanding of animal behaviour. This course will give students a unique perspective on the natural world and our own species. The purpose of this course is to introduce students with the diversity in animal behaviour and the means of understanding animal behaviour. The course will teach students the underlying mechanism and function of behaviour, and how did a particular behaviour develop and evolve.",Biological Sciences
